stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,245.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.26,0,0,0,0,0,0,0,0,0
  5-6,232.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.1,0,0,0,0,0,6.16,0,0,0,0,0,0,0,0,0
  7-9,0,0,9,0,0,0,4.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.01,0,0,0,43.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,10.13,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,60.93,0,0,0,58.43,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,15.66,3.51,0,11.95,0,0,0,0,0,0,1.01,0,0.81,0,0,0,5.9,0,0,7.45,81.36,1.29,0,0,3.8,0,6.54,5.82,0,2.58,12.85,25.07,0,0,0,0
 24-34,0,0.97,1.62,17.57,0,0,15.15,0.72,0,0,7.11,1.08,0,0,0.78,0.64,0,0,0,39.33,0.71,0,13.28,185.73,10.92,5.31,0.93,0,0,21.54,0,1.6,1.89,1.33,43.4,0,0,6.19,0
 36-46,0,0,0,3.38,0,0,19.89,0,0,0,0.78,0,0,0,0,0,0,0,0,11.68,0,0,3.18,34.62,0,1.37,0,0,0,17.11,0,0.62,0,0,13.83,0,0,0,0
 48-58,0,0,0,6.17,0,0,60.81,0,1.36,1.5,7.32,0,0,0.55,8.16,0.44,0,0.45,0,20.69,0,1.62,8.07,51.24,0,3.2,0,0,0,13.74,0,0,0,0,16.03,0,0,3.23,0
 60-70,0,0,0,3.37,0,0,18.81,0,0,1.47,0,0,0,0,0,0,0,0,0,17.56,0,0,2.6,24.01,0,0,0,0,0,15.51,0,0.59,0,0,5.2,0,0.57,1,0
 72-82,0,0,0,0.61,0,0,37.05,0,0.62,3.77,2.63,0,0,0,1.63,0,0,0,0,16.15,0.92,1.07,1.93,30.3,0,1.15,0,0,3.94,8.61,0,0,0,0,2.54,0.53,0.5,0.86,1.26
 84-94,0,0,0,0.68,0,0,20.64,0,0,0,1.91,0,0,0,4.24,0.8,0.57,0,2.88,12.13,0,0.83,0,17.98,0.86,0.77,1.99,0,0,4.21,0,0,0,0,1.28,0,0,0.8,0
 96-106,0,0,0,2.15,0,0,32.39,0,0.89,0,15.53,2.82,0,0,4.64,0.65,0.99,0,0,19.55,0,0,2.31,18.58,0,1.23,0,0,0,9.94,0,0,0,0,5.64,0,0,0.67,0.91
108-118,0,0,0,0.75,0,0.85,32.25,0,0,0,2.33,0,0,0,6.07,1.07,0,0,3.68,19.71,0,0,2.47,14.77,1.8,2.67,0,0,0,1.9,0,0,0,0,1.42,0,0,0.55,0
120,0,0,0,4.13,11.14,0,16.58,0,0,0,3.38,0,0,0,5.37,0,0,0,0,22.57,0,0,1.52,70.44,0,2.49,0,0,0,12.88,0,0,0,0,0,0,0,10.6,0
