stage,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature
 10-12,0,0,0,0,0,0,0,0,16.6,0,5.31,0,0,0,0,0,0
 14-21,1.84,0,0,0,0,0,0,6.45,7.46,0.87,0,0,4.81,1.23,30.05,3.26,0
 24-34,0,0,0,0,0,0,0.91,6.66,9.11,0,0,0,0,0,1.33,2.62,2.12
 36-46,0,1,0,0,0.6,0,2.23,0.58,13.71,0,0,0,0,0,0,2.04,0
 48-58,0,0,1.12,0,0,0,1.46,0.47,9.69,0.39,0,0,0,0,0,2.04,0
 60-70,0,0,0,0,0,0,0.67,0,17.47,0,0,0,0,0,0,0,0
 72-82,0,0,4.56,0,0,0,5.86,0,15.43,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.78,0.74,4.52,0,0,2.01,0,0,0,0,0
 96-106,0,0,5.3,0,0,0,3.5,0,7.8,0,0,0,0,0,0,0,0
108-118,0,0,6.4,0.82,0,0.81,0.54,0,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0
