stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.12,454.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0
  5-6,28.57,252.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.43,0,0,0,8.27,18.37,0,0,0,0,0,0,0,0,0
  7-9,24.3,29.36,0,18.35,0,0,25.91,0,0,0,0,0,0,0,0,0,185.58,3.43,0,0,55.93,0,5.28,0,0,0,0,0,0,0,0
 10-12,0,5.48,0,5.88,0,0,14.02,0,0,0,0,0,0,0,0,0,236.34,7.14,0,0,54.82,0,0,0,14.53,0,0,0,0,0,0
 14-21,0,0,0,0,1.39,2.45,1.17,0,2.31,0,0,0,0,0,0,0,28.23,0.87,0,0,0,0,0,1.06,0,4.33,10.56,0,0,0,0
 24-34,0,0,0,0,1.27,1.55,6.01,0,0.9,0,0,0,5.3,0,0,0.86,67.33,0,0,0.69,0,0.62,0,0,0,0,14.77,0,4.34,0,0
 36-46,0,0,0,0,0,7.98,10.82,0,4.7,0,0,0,4.66,0,0,1.28,35.22,0,0,0,0,3.1,0,0,0,0,11.96,0,0,0,0
 48-58,0,0,0,0,0.61,3.14,24.64,0,8.28,0,10.59,3.93,3.89,1.73,0,1.01,36.88,0,0.58,0,0,0,0,0,0,0,11.78,0,0,0,0
 60-70,0,0,0,0,2.99,0,10.92,0,0.71,0,0,0,6.46,0,0,1.14,11.61,0,0,0,0,0.6,0,0,0,0,4.81,0.67,0,0,3.16
 72-82,0,0,0,0,0,5.33,5.4,1.03,0,0,1.11,0,4.72,0,0.56,0,7.85,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.26,3.86,0,5.4,0.56,0,0,2.42,0,0,1.83,16.02,0,0,0,0,0.59,0,0,0,0,2.96,0,0,1.34,0
 96-106,0,0,0.81,0,0,6.01,4,0,0,0,1.13,0,3.99,0,1.41,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.1,4.16,10.34,0,3.49,0,0.67,0,3.21,0,0,0,23.19,0,0,0,0,0,0,0,1.86,0,0,0,0,0,0
120,0,0,0,0,0,4.72,3.75,0,10.2,0,0,0,0,0,0,0,8.06,0,2.49,0,0,0,0,0,0,0,5.59,0,0,0,0
