stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle
  3-4,17.74,968.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.92,0,0,0
  5-6,12.7,277.07,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,7.63,0,0,0
  7-9,4.36,0,0,0,0,0,0,0,0,0,0,0,25.59,0,0,31.96,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,9.27,4.81,0,0,0,16.55,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0.82,0
 24-34,0,0,3.38,0,0,0,1,0,0,0,0,0,2.43,0,0,0,0,0,2.26,0
 36-46,0,0,9.44,0,2.56,0,2,0,0,1.22,0,0,1.56,0,0,0,0,0,0,0
 48-58,0,0,9.19,0,1.08,1.44,1.65,0,0,0,1.01,0,8.19,0,0,0,0,0,0.6,0
 60-70,0,0,1.82,0,19.56,0.58,14.28,0,0,0,0,0,15.49,0,0,0,0,0,0,0
 72-82,0,0,2.75,0,11.79,0,52.34,0,0,0,1.55,0,22.15,0,0.58,0,0,0,0,0
 84-94,0,0,0.65,0,21.93,0.73,54.14,0,0,0,3.28,0,31.46,0,0,0,0,0,0.63,0
 96-106,0,0,5.33,0,28.8,1.87,104.79,0.7,0,0,2.92,0,19.59,0,0,0,0,0,0,0
108-118,0,0,1.08,0.98,8.23,1.18,144.71,0,0.86,0,2.66,0,17.56,0,0,0,0,0,0,0.45
120,0,0,3.66,0,16.18,0,143.34,0,0,0,5.07,3.2,54.43,0,0,0,0,0,0,2.15
