stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.43,171.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,367.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.04,0,0,0,0,0,0,0,0,0,0
  7-9,7.23,0,0,16.28,0,0,20.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193.27,0,0,0,66.12,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.04,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,0,151.6,7.14,0,0,46.89,0,0,0,14.5,0,0,0,0,0,0
 14-21,0,1.36,0,7.1,53.81,14.5,29.93,0,0,0,10.28,0.98,0,2.85,0,0,0,0,0,3.57,32.12,0,0,33.38,537.05,2.24,1.83,8.69,6.02,0,11.15,40.63,0,29.69,129.63,0,0,3.79,0
 24-34,0,0,0,0.86,8.32,0.81,44.53,0,0,0,9.45,0,0,0,0,0,0,2.23,0,0,39.17,0,0,13.89,532.16,1.87,2.34,4.43,0,1.14,58.94,0,0.83,5.19,95.09,0,0,12.13,0
 36-46,0,0,0,0.96,1.27,0,64.03,0,11.38,1.4,14.28,0,0,1.87,0,0,0.86,0.66,0,1.45,31.68,0,0,10.79,292.25,0,2.32,0,0,0,46.23,0,0,0,88.83,0,0,15.39,0
 48-58,0.39,0,0.96,0,5.88,0,118.25,0.6,1.3,2.41,43,0,0,1.5,1.38,0.38,0,2.14,0,0,51.55,0,2.65,8.46,230,0,3.92,6.63,0,0,22.51,0,0,0,63.02,0,0,5.21,0
 60-70,0,0,0,0,5.17,0,97.88,0,5.01,0,28.84,0,0,0,3.21,0,0.88,0,0,0,22.53,0,3.77,8.34,136.71,0.65,0,2.62,0,0,23.43,0,0,0,32.63,0,0,2.18,1.36
 72-82,0,0,0.93,0,5.87,0.96,58.14,0.55,0.62,3.64,32.81,0,0,0,1.37,0,0.52,0,0,0,46.37,0.88,3.49,9.39,99.19,0,1.05,3.16,0,0.87,31.1,0,0.97,0,11.37,0.92,2.29,2.17,0
 84-94,0,0,0,0,3.42,0,24.51,0,0,2.06,12.82,0.84,0,0,2.63,0,0,1.11,0.82,0,35.41,0,1.41,1.72,54.92,0,0,2.02,0,0,33.81,0,0,0,0,0,2.79,1.49,0
 96-106,0,0,0,0,6.37,0,44.63,0,0,1.83,26.42,0.7,0,0.62,1.31,0,0,0,0,0,41.58,1.56,0.58,2.3,58.47,1.24,5.22,0.77,0,0,85.56,0,0,0,14.88,0,0.96,5.94,0
108-118,0,0,0,0,4.71,0,41.55,0,1.09,1.73,13.2,0.69,0,0.43,2.85,1.14,0,1.68,3.18,0,28.2,0.87,1.6,7.76,92.09,0.52,0.47,0.43,0,0,48.7,0,0,0,1.68,1.03,0.82,7.9,4.17
120,0,0,0,0,5.26,0,52.53,0,0,3.99,10.01,1.2,0,0,0,0,0,0,0,0,46.2,1.1,0,1.56,61.07,0,1.45,0,0,0,33.85,0,0,0,0,0,0,0,0
