stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,168.89,3281.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.72,0,0,0,0,0,0,0,0,0
  5-6,21.07,675.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.22,7.03,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,30.98,0,0,15.13,0,0,0,15.91,0,0,0,0,0,23.55,0,0,0,0,0,0,0,0,255.38,6.49,0,0,22.71,0,0,10.39,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,345.76,0,0,0,13.69,0,0,3.78,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,103.46,3.85,0,1.73,0,0,0,0,0,0,0,0,0.92,1.83,0,0,0,0.94,6.31,0,1.04,6.52,0,0,0,0,0.93,0,7.76,0,0,0,0,0
 24-34,0,0,0,2.65,77.61,0,0,3.89,0,17.37,0,2.4,0,0,0,0,2.81,2.61,1.13,0,0,0,68.72,13.22,1.56,4.96,0,0,12.02,0,0,0.63,9.16,0,0,1.4,0,0
 36-46,0,0,0,0,34.72,0,0,1.14,0,43.24,0,3,2.61,0,0,0,0.83,0.83,0,0,0,0,177.34,13.76,3.57,15.47,0,0,1.83,0,0,0,13.09,0,0,0.76,0,0
 48-58,0,0,0,0,81.2,0,0,8.01,0,41.77,0,7.92,0.92,0,0,0,5.39,0,4.63,0,0.5,0,173.3,2.64,3.77,4.89,0,0,2.76,0,0,0,8.2,0,0.44,0.43,0,0
 60-70,0,0,0.57,0,76.9,1.4,0,6.3,1.39,51.53,1.9,7.86,1.75,0,2.04,0.8,5.63,0,8.83,2.41,0,0,155.59,3.57,6.1,10.84,0,0,1.06,0,0,0,15.26,3.35,0.57,0,0.85,0
 72-82,0,0,3.44,0.56,99.71,1,0,26.47,0,48.86,3.16,2.62,11.52,0.6,1.2,1.26,20.34,7.96,18.61,3.05,0.49,0,173.54,2.48,4.79,19.97,0,0,1.99,6.61,0,0,35.66,5.06,2.52,10.25,5.64,4.41
 84-94,0.62,0,3.57,0,142.66,0,0,42.25,0,79.45,0,1.82,21.42,0,2.99,1.95,12.98,0,34.26,0.62,1.17,0,179.63,6.47,1.87,12.2,0,0,13.5,4.2,0,0,8.54,11.57,9.31,4.24,11.32,0
 96-106,0,0,10.19,2.06,182.88,3.82,0,27.44,0,66.52,3.55,30.62,52.42,0,5.74,1.67,34.6,16.34,34.12,2.63,5.46,0,184.97,4.91,8.84,17.38,0,0,24.18,2.06,0,0,14.51,10.75,6.39,5.6,16.78,0
108-118,0,0,1.67,1.99,198.75,6,0.49,19.46,0,112.67,1.46,3.82,34.73,0,9.91,2.75,26.02,0.86,63.74,5.18,0.46,0,173.9,3.5,9.76,22.66,0,2.94,15.8,0,0,0.59,15.53,18.51,11.33,2.88,8.56,0
120,0,0,0,0,218.42,0,0,34.63,0,64.31,0,13.12,61.39,0,1.5,8.07,31.66,6.54,55.14,0,0,0,297.17,11.43,28.82,29.59,0,2.54,3.98,0,0,0,6.38,10.4,0,14.86,34.1,1.1
