stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,iridophores,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,73.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,4.29,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0
 24-34,0,0,0,0,0,1.14,0,0,0,0,2.08,0,0,0.6,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.58,0,0,0,0,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.75,0,0,1.4,0,0,0,1.22,0,0,0,0,0,0,0,0.93,0,0,0,0,0
 60-70,0,0,0,2.27,0,0,1.76,0,0,0,5.45,0,0,5.35,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,18.71,0,0,6.42,0,0,0,91.66,0.57,0,11.53,0,0,0,0,0,0.87,0,0.96,0,0
 84-94,0,0,2.7,0,0,0,6.2,1.08,0,0,338.06,0,0,5.48,0,0,3.07,0,0,0,0,0,0,0
 96-106,0,1.02,7.06,12.65,0,0,5.56,0.57,0,1.25,470.99,15.69,0,75.93,0,4.63,0.8,0.89,0,0,0,4.59,0,0
108-118,0,0.61,0,16.41,0.64,2.08,4.37,0.42,0,0,1037.41,17.34,1.38,62.15,0,0,5.03,0.88,0,0,0,1.52,2.27,0
120,0,0,0,21.4,0,0,0,1.02,2,0,502.94,0,6.93,57.3,0,0,0,0,0,0,8,0,0,19.46
