stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,49.69,626.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.87,0,0,0,0,0,0,0
  5-6,57.17,714.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.93,0,0,0,9.32,15.46,0,0,0,0,0,0,0
  7-9,0,23.5,0,5.92,0,0,0,0,0,0,0,0,0,0,0,0,126.64,3.53,0,0,20.07,3.29,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49,0,0,0,18.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.02,0,0,21.52,0,0,0,0,0,0,0,1.36,0,0,1.44,9.65,0.83,4.92,9.31,0,5.1,32.2,0,0,0
 24-34,0,0,0,0,0,0,0,26.32,0,4.81,0,0,0,0,0,0.69,13.66,0,21.05,3.28,0,5.14,14.12,0.91,10.31,29.1,0,0,0
 36-46,0,0,0,0,0,0.63,0.69,10.43,0,11.84,0,1.55,0.71,0,0,0,32.44,0,14.01,1.46,0,0,2.74,0,0,16.74,0,0,0
 48-58,0,0,0,0,0,4.49,0,17.35,0,0.39,0,0,2.72,0.4,0,1.14,32.06,0,14.36,3.57,0,2.99,12.67,0,0,29.02,0,1.78,0
 60-70,0,0,0,0,0,0,0,9.26,0,7.06,0,3.86,7.01,0,1.47,0,10.42,0,16.12,0.83,0,5.65,1.31,0,0,6.41,0,0,0
 72-82,0,0,0,0,0,0,0,13.27,0,1.86,11.18,0.72,2.45,0,0,1.58,4.46,0,23.23,7.81,0,4.19,0,0,0,11.12,0,0,1.15
 84-94,0,0,0,0,1.06,1.12,0,23.87,0,4.97,2.61,0.64,6.33,0,0,0,13.12,0,18.21,6.77,0,17.38,9.63,0,0,14.06,0,0,0
 96-106,0,0,3.15,0,3.09,2.37,0,14.38,0,5.7,0,5.02,4.28,0,0,0,13.31,0,27.18,7.84,0,7.3,1.4,0,0,5.38,0,0,3.02
108-118,0,0,0.58,0,1.46,1.11,0,19.48,2.54,1.49,0,1.14,16.43,0,0,0,22.35,0,27.16,4.2,0,1.52,1.91,0,0,1.18,2.27,0,5.9
120,0,0,0,1.28,1.07,5.09,0,24.34,0,10.13,0,0,19.39,0,0,0,43.42,0,16.49,1.66,0,2.9,4.58,0,0,0,0,0,0
