stage,axial,blastomeres,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,0,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.92,0,0,12.74,0,0,0,0,0,0,0,0,0,10.43,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1.45,1.23,1.15,0.88,0,0,0
 24-34,0,0,1.62,2.09,0,0,0,0,0.64,0,0,0,1.01,6.03,0,1.9,0,1.27,0
 36-46,0,0,0,0,0,1.99,0,0,0,0.61,1.12,0.7,0,19.09,1.48,3.87,0,0,0
 48-58,0,0,0.37,6.31,0,0.9,0,0,0,0,0.53,0,0,18.48,0,2.69,0,0.47,0
 60-70,0,0,1.05,6.95,0,0.78,0,0,0,0,4.31,0,0,7.69,0,5.09,0,0,0
 72-82,0,0,1.73,7.37,0,1.47,0,0,0,0,0.53,0,0,9.93,1.14,3.29,0,0.59,4.49
 84-94,0,0,0.76,2.71,0.6,0,0,0,0,0,0.85,0,0,31,1.97,6.09,0,0,0
 96-106,0,0,0,15.05,0,0,0,0.89,0,0,0.73,0,0,6.39,2.7,0,0,0,0.62
108-118,0,0,0.46,12.05,0,0,2.17,0,1.23,0,0,0,0,7.94,0,3.55,1.35,1.3,0
120,0,0,0,6.52,0,6.69,1.55,0,0,0,5.18,0,0,6.98,0,0,0,0,0
