stage,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,neural,notochord,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,10.34,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.79,0,0,0,0,0,0,0,0,2.42,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,12.2,0,0,0,0
 36-46,0,0,0,0,0,5.92,0.57,0,0,0,0,0,1.53,0,20.96,0,0,0,0
 48-58,0,0,0,0,0,4.41,0,0,0,0.53,2.26,0,0.94,0,8.57,0,0,0,0.51
 60-70,0.66,0,0,0,0,15.86,0,0,0,0,0.85,1.02,0,0,23.42,0,0,0,0
 72-82,3.58,6.35,0,0,0,46.13,0,0,0,0,0.69,0,11.39,0,81.6,0,1.54,0,0
 84-94,5.42,2.32,1.37,0,0,56.74,0,0,0,1.03,4.73,0,4.8,0,315.71,0,0,0,0
 96-106,33.4,9.36,1.02,0,1.73,129.67,1.5,0,6.81,1.38,2.61,0,11.3,0.97,226.73,5.77,0,2.3,0
108-118,30.61,0,1.86,0.75,0,126.95,0,0.82,0.97,1.06,6.63,0,6.85,0,140.04,0,0,0,0
120,16.99,2.13,0,0,1.23,84.99,0,0,0,0,2.59,0,6.51,0,99.69,0,0,0,0
