stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,6.98,0,0.9,0,0,0,0,0,2.29,0,0,0,0,0,1.52,0,0,19.29,0,0,0,0,0,0.82,0,0,0.81,9.6,0,0,0
 24-34,0.59,0,3.66,0,0,0,0,0,0,0,0,0,0,0,2.66,0,3.13,48.16,0,0,0,0,0,0,0,0,0,7.16,0,0,0
 36-46,0,0,5.28,0,0,0,0.73,0,0,0.56,0.64,0.62,0,0.61,2.5,0,1.25,44.37,0,0,0,0,0.75,0,0,0,0,21.42,0,0,0
 48-58,0,0,11.4,0,0,0.47,3.19,0,0,0,0,0,0,0,1.59,0,1.18,38.47,0,0.8,0.7,0.56,0,0,0.43,0,0,6.52,0,0,1.32
 60-70,0,0,31.87,0,0,0,4.8,0,0,0.58,0.64,0,1.37,0,7.44,0.58,0.68,45.98,0,0,0,0,0,0,0,3.95,0,12.29,0,0,2.88
 72-82,1.53,17.47,27.39,0,0,0,1.58,0.7,0,0,0,0.55,0,0,10.35,0,2.49,42.17,0.56,0,0.83,0,0,0,0,0,0,4.42,0,1.13,0
 84-94,0.65,0,6.47,0,0,0,15.42,1.01,0,0,0,0,0,0,7.57,0.57,0,27.8,0,0,0,0,0,0,0.67,0,0,0,0,4.14,0
 96-106,1.07,20.87,25.35,0,0,0,9.8,0,0,0,0.8,3.54,0,0,2.75,0,1.05,24,0,3.23,0.8,0,1.45,0,0,0,0,0,0,0,1.13
108-118,1.99,7.05,18.5,1.3,0.42,0,6.16,1.41,0,0,0,0,0,0,5.64,0,7.14,27.52,0,0,0,0,0,0,0.87,0,0,0,3.45,0,0.88
120,2.05,0,5.56,0,0,0,0,0,0,0,0,0,0,0,17.33,0,0,31.19,0,0,0,0,0,0,0,0,0,0,0,1.31,0
