stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0.98,0,0,0,0,3.8,0,0.84,2.62,0,0,0,0,0,0,0
 24-34,0.64,0.84,0,0,0,0,0,0.67,0,0,0,2.73,0,0.62,9.42,0,0,0,1.34,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,7.93,2.69,0,12.17,0,0,0,11.54,0,0,0
 48-58,0,0,0,0,3.31,0,2.68,0,0,0,0,5.75,4.29,0,38.02,0,1.95,0,8.18,0,0,0
 60-70,0,0,0,0,36.39,0,1.05,1.57,0,0,3.3,10.21,10.26,0.63,33.86,1.19,1.06,0,5.25,2.03,0,3.49
 72-82,0,0,0,0,48.05,0.61,0.87,2.62,0,0,0,11.22,11.1,0,109.86,0,0.61,0,9.09,1.85,1.29,4.57
 84-94,0,0.81,0,0,44.05,0,6.89,2.78,0.91,0,0,10.45,8.74,0,76.98,0,0,0,0,6.25,0,3.12
 96-106,0,2.33,2.38,0.66,62.97,0,4.14,3.73,0.63,0.6,0,6.52,2.2,0,61.54,0,9.37,0,7.41,7.66,0,2.84
108-118,0.45,1.75,0,0,31.49,0,4.52,5.1,3.32,2.05,0,15.57,1.03,0,111.71,0,1.27,1.31,5.32,5.25,0,6.41
120,0,8.8,0,0,26.29,0,0,4.35,6.03,0,9.76,22.99,0,1.36,186.91,0,2.92,0,8.82,1.13,0,27.85
