stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,12.39,25.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,80.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.23,0,3.67,0,0,0,0,0,0,0
 10-12,0,4.72,0,0,0,0,0,0,0,0,0,0,0,0,0,29.6,0,0,0,5.33,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.14,0,0,0,0,0,2.59,0,0,0
 24-34,0,0,0,0.64,0,3.68,0,0,0,0,0,0,0.77,0,0,74.79,0,0,0,0,0,0,39.22,0,0
 36-46,0,0,0,0,0,9.05,4,0,0,0,0,0,0,5.39,0,162.25,0.8,0,0,1.54,0,0,73.39,0,0
 48-58,0,0,0,0,0,6.76,4.21,0,0,0,0,0.51,0,2.56,0,236.53,1.31,0,0.52,0,0,0,60.58,0,0
 60-70,0,0,0,0,0,19.45,0,0,1.06,0,0.72,0,0,8.07,0,470.45,1.58,0,0,0,0,0,133.68,0,8.17
 72-82,0,0,0,1.82,0,29.88,6.26,0,0,0,0,0,0,0.77,5.35,480.59,0.52,0,0,0,1.62,0,93.27,0,3.77
 84-94,0,0,0,1.96,0,61.31,9.18,0,0,1.06,0,0,0,0,0,408.48,8.09,0,0,0,0,0,70.05,0,0
 96-106,0,0,0,7.2,1.91,57.27,20.09,2.87,0,0,0,0,0,4.51,0,274.94,0,0,0,0,0,0,51.45,0,0
108-118,0,0,0.74,1.77,0,18.62,42.24,0,0,0,0,0,0,0,0,360.22,0,0,0,0,0,0,32.29,0.68,0
120,0,0,0,0,0,44.03,101.85,0,0,0,0,0,0,2.11,0,563.46,0,0,0,0,0,0,63.56,0,0
