stage,blastomeres,epidermis,eye,glial,gut,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,23.94,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.52,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,29.11,0,0,3.69,0,0,0
 10-12,0,0,0,0,0,0,0,3.44,0,0,0,0,0,0
 14-21,0,1.61,0.93,0,0,0,1.99,3,0,0,0,0.9,0.82,0
 24-34,0,0,0.6,0,0,0,3,8.49,0,0,0,0,0,2.15
 36-46,0,0,1.77,0,0,0,0.96,10.37,0,1.31,0,0,0,0
 48-58,0,0,3.22,0,0,0,0,3.08,0,0.5,0,0,1.91,0
 60-70,0,0,0,0,0,0,0,1.02,0,0,0,0,0,0
 72-82,0,0,4.32,0,0,0,0,2.35,0,0,0,0,0,0
 84-94,0,0,0.74,0,0,0.71,0,0.71,0,0,0,0,0,0
 96-106,0,0,0.78,0,0,0,0,2.27,1.43,0.79,0,0,0,0
108-118,0,0.48,1.57,5.36,0,0,1.02,3.97,0,0,0,0,0,0
120,0,0,0,0,3,0,0,9.03,0,0,0,0,0,0
