stage,blastomeres,eye,glial,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,vasculature
  3-4,154.29,0,0,0,0,0,0,0,12.68,0
  5-6,61.37,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,8.86,0,0,5.83,0,0
 10-12,0,0,0,0,0,0,0,4.31,0,0
 14-21,0,0,0,0,0.81,0,0,0,0,0
 24-34,0,0,0,0,0,0.67,0,0,0,0
 36-46,0,0,0.9,0,0,0,0,0,0,0
 48-58,0,0,0,1.45,0,0,0.43,0,0,0
 60-70,0,0.73,0,0,5.19,0,0,0,0,0
 72-82,0,0,0,1.17,0,0,0,0,0,0.96
 84-94,0,0,0,0,0,0,0,0,0,2.83
108-118,0,0,0,0.67,0,0,0,0,0,0
120,0,0,0,0,5.14,0,0,0,0,0
