stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste
  3-4,1051.16,2653.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.05,0,0,0,0,0,0,0
  5-6,1282.43,2230.27,50.22,0,0,0,0,0,0,0,115.3,0,0,0,0,0,0,0,0,0,521.13,13.98,0,0,117.52,0,0,0,0,0,0,0,0
  7-9,231.37,49.94,301.3,0,0,1093.32,0,0,0,0,358.08,0,0,0,0,0,0,0,0,0,817.13,83.32,0,0,262.09,0,0,0,0,0,0,0,0
 10-12,0,27.56,246.82,0,0,2310.28,0,0,0,0,15.17,0,0,0,0,0,0,0,0,0,4379.74,330.88,0,0,819.57,0,5.85,0,0,0,0,0,0
 14-21,0,0,0,147.47,0,34.36,0,0,2.17,1.38,0,0,0,5.54,0,0,1.04,23.92,0,2.53,403.47,355.78,4.58,6.42,719.36,2.66,0,78.49,0,7.15,28.26,54.46,0
 24-34,0,0,0,108.04,0,29.68,0,5.05,0,0,0,0,0,0,0,4.68,0,51.51,3.08,2.18,364.48,55.4,4.54,26.59,0,0,0,0,0,8.5,43.49,17.04,0
 36-46,0,0,0,47.5,0,46.84,0.93,6.37,4.13,0,0,1.46,0,0,0,4.77,0,45.39,2.28,9.04,340.35,3.79,1.54,18.65,0,4.66,0,0,0,5.12,0.58,6.08,0
 48-58,0,0,0,30.74,0,64.93,0,5.44,14.46,0,0,0,0,0,0.54,4.15,0,17.19,0,0.38,181.56,0,1.08,11.78,0,0,0,0,0,0,0,0.59,0
 60-70,0,0,0,38.14,0,76.02,0,3.65,1.5,0,0,0,0,0,0,9.46,0,29.89,0,0,135.36,0,0,9.54,0,0,0,0,0,5.97,0,3.29,2.73
 72-82,0,0,0,23.79,0,29.03,0,3.83,21.41,0,0,0,0,0,0.57,13.95,0,16.49,0,0.78,114.26,0,0,14.67,0,0,0,0,0,6.33,0,10.76,6.66
 84-94,0,0,0,60.96,0,44.93,3.27,11.99,22.38,0,0,0,0,6.21,0,16.59,0,31.76,0,0,122.27,0,0,68.11,0,0,0,0,0,1.32,0,3.19,35.65
 96-106,1.12,0,0,38.03,1.23,17.01,0.62,5.03,61.14,0,0,1.09,0.64,0.56,0,11.79,0,24.73,0,1.41,79.39,0,0,35.42,0,0,0,0,0,0,0,5,48.19
108-118,0.66,0,0,31.95,0,9.28,3.43,2.23,36.81,0,0,0,0,7.27,0,11.92,3.34,22.7,0,0,64.57,1.78,3.02,36.84,0,0,0,0,0.51,1.9,0,3.59,49.38
120,1.12,0,0,29.81,0,26.28,2.05,4.68,40.94,0,0,0,0,2.5,0,14.05,0,17.82,0,0,117.53,0,0,86.18,0,0,0,0,0,3.56,0,12.83,29.21
