stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.93,38.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,8.37,0,0,11.26,0,0,0,0,0,0,0,0,0,0,0,0,133.34,13.49,0,0,18.16,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.63,0,0,0,19.93,0,0,0,0,4.15,0,0,0,0,0,0,0,158.76,0,0,0,22.81,0,6.56,0,14.35,0,5.41,0,0,0,0,0
 14-21,0,0,1.1,3.35,0,1.01,0,0,0,0,0,0,0,0,0,0,1.97,5.44,33.67,0,0,0,0,0,0,1.89,0,0,3.9,6.61,0,0,0,0
 24-34,0,0,0,1.61,0,6.15,0,0,0,0,0,0,0,0,0,0.73,2.02,1.3,40.32,0.81,0.76,0,0,0,0,0,0,0,0,6.95,0,1.04,0,0.61
 36-46,0,0,0,0,0,12.35,0,0.63,2.82,0,0,0,0,2.72,0,0,1.01,2.85,43.09,0,0,3.03,0,0,0,0,0,0,0,4.13,0,0,0,0
 48-58,0,0,0,0,0,8.36,0,0,1.84,0,0,0.47,0.55,0,0,0,2.29,0,37.79,0,0.87,1.73,0,0,0,0,0,0,0,4.82,0,1.23,0,0
 60-70,0,0,0,1.29,0,18.66,0,0,0,0,0,18.37,0,0,0,0,6.2,0,33.55,0,0,5.16,0,0.69,0,0,0,0.62,0,1.81,1.19,0.98,0,0
 72-82,0,0,0,0.97,0,9.14,0,0.55,0,0,0,64.72,0,0,1.74,0,9.53,0,31.87,0,0,7.58,0,0,0,0,0,0,0,0.86,1.84,0.54,0,0
 84-94,0,0,0,0.74,0.71,10.48,0,0,0,1.7,0,68.04,0,0,0.89,0,8.14,1.51,19.83,0,1.91,2.5,0,5.37,0,0,0,0,0,0,0,7.82,0,0
 96-106,0,0,0,4.57,10.26,9.89,0,0,1.8,1.58,0,241.72,0.86,0,1.61,2.51,12.17,0,59.89,0.62,1.63,5.65,0,14.56,0,0,0,0,0,0,0,18.2,2.25,0
108-118,0,0,0,0,0,24,0,0,6.92,0.96,0,475.56,0,0,0,0,16,0,60.41,0,0.55,1.22,0,0.45,0,0,0,0,0,0,0,7.43,0,0
120,0,0,0,9.84,1.38,44.4,2.85,5.18,3.65,1.29,0,712.17,0,0,4.52,2.51,1.04,14.58,110.65,0,3.29,15.93,0,0,0,0,1.12,0,0,0,0,8.31,0,0
