stage,epidermis,eye,glial,iridophores,mesenchyme,mural.cell,neural,periderm,pgc,pronephros,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,8.5,0,7.87,0,0,0,0
 10-12,0,0,0,0,0,0,3.55,0,0,0,0,0,0
 24-34,0,0,1.02,0,0,0,3.87,0,0,0,0,0,0.62
 36-46,0,2.03,0,0,0,0.56,5.41,0,0,0,1.63,0,0
 48-58,0,3.9,0.67,0,0,0,0.51,0,0,0,0,0,0
 60-70,0,2.89,0,2.88,0,0,12.2,0,0,0,0.83,0,0
 72-82,0,0,0,0,4.26,0,0,0,0,0,0,3.23,0
 84-94,1.4,0,1.58,0,0,0,0,1.83,0,0,0,9.38,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0.71,0
108-118,0,0,0.9,0,1.29,0,3.27,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.74,0,0,0
