stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,28.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.16,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,1.33,0,0,0,0,0
 24-34,0,0,0,0,4.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28,0,6.77,0,0,0,0,5.02,0,0,0,0,0
 36-46,0,0,0,0,30.48,0,0,0,0,0,0,0,0,0,0,0,0.92,0,0,0,9.77,0,17.8,0,0,0,0,20.47,0,0,0,0,0
 48-58,0,0,0,0,43.83,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,24.33,0,3.82,0,0,0,0,7.98,0,0,0,0,0
 60-70,0,0,0,0,1256.78,0,0,0,0.68,0,0,1.28,0,0,0,0,0,0,0,0,35.7,6.77,32.23,0,0,0.97,0,6.2,0,0,0,0,0
 72-82,0,6.22,7.98,0,3432.07,0,0,7.22,12.9,3.13,0,0,7.2,0,0,0,15.45,0,0,2.98,91.19,0.66,19.67,0.76,1.13,2.36,0,31.55,2.31,0,3.5,1.73,13.68
 84-94,0,10.28,0.66,0,4093.81,0.56,9.46,0,13.67,3.37,0,0,2.79,1.61,0,0,4.57,0.86,0,0.71,77.38,0,16.36,0.88,0,1.62,0,6.29,3.56,0,0,2.61,0
 96-106,0,11.13,24.46,0,3463.81,0,5.14,0,15.09,0,0.61,0,3.18,0.84,12.97,1.03,17.28,0,3.82,3.45,85.78,0,22.45,0,0,10.13,0.9,2.5,1.66,0,3.26,0,0
108-118,0,2.51,3.05,0.5,3172.14,0,1.06,3.06,19.13,1.07,0,0.47,6.85,0,4.58,0,21.4,0,0,1.23,90.55,0.83,33.22,2.64,0,6.43,0,0,1.6,2.14,4.65,1.86,2.14
120,0,24.92,0,0,3372.64,9.05,2.56,5.84,0,10.73,0,1.22,4.6,0,7.84,0,8.12,0,0,3.46,127.27,0,18.7,0,0,0,0,1.95,0,0,0,0,0
