stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,10.46,13.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0
  5-6,0,42.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,20.72,0,0,0,0,0,0,0
  7-9,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.83,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.41,0,0,3.59,0,0,0,0,0,3.61,0,0,0,0,0,0,0,0,0,0,91.58,0,0,0,4.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.31,0,1.04,0,1.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.11,0,0,2.72,0,0,0,0,0,2.2,38.22,0,0,0
 24-34,0,0,0,0,2.34,0,7.24,0,0,0,1.45,0,0,0,0,0.61,0,0,0,0.72,0,0,0,240.89,0,3.5,2.26,0,0,3.59,0,0.69,0,127.09,0,0,0
 36-46,0,0,0,0,1.07,0,21.02,0,0,0,10.31,0,0,0.89,0,0.56,1.19,0,0,1.2,0,0,0,447.5,0,4.46,4.87,0,0,3.72,0,0,0,129.01,0,1.92,0
 48-58,0,0,1.09,0,0,0,57.14,0,0,4.63,23.52,0,0,0,0,0,0,0,6.96,2.49,0,0,1.13,620.37,0,4.62,5.42,0,0,7.85,0.53,0.5,0,125.37,0,0,0
 60-70,0,0,0,0,0,0,152.08,0.61,7.11,0,32.1,0,0,0,0,0.58,1.39,0,0,2.01,0.73,0,0,686.17,0,3.5,10.73,0,0.63,15.68,0,0,0,82.36,0,0,4.39
 72-82,0,0,3.12,0,1.31,0,206.14,0,2.07,0,36.52,2.44,0,0,6.82,0,0.72,0,0,13.23,0,0,6.3,928.85,0,6.09,25.32,0,0,6.54,0.64,0,0,58.59,0,7.51,0
 84-94,0,0,0,0,4.06,1.42,165.8,1.88,0,0,34.48,0.57,0,0,3.76,1.56,0,0,0,11.27,0,0,0.68,625.38,0,7.72,19.89,0,0,39.09,0,0,0,57.98,3.52,0.59,0
 96-106,0,0,7.43,0,4.31,0,172.86,0,0,2.35,25.9,2.51,0,0,0,1.25,1.52,1.54,0,0.58,0,0,0.59,605.23,0,23.07,37.78,0,0,32.19,0,0,0,24.99,6.57,1.16,0
108-118,0,0,4.46,0,3.8,0,140.32,0,0.5,0,45.51,3.8,0,0,0.56,2.3,1.97,0,0,10.81,0,0.63,0,578.3,0.43,7.17,16.53,0,0,27.48,1.48,0,0,31.91,0,1.14,0
120,0,0,0,1.66,2.62,0,227.86,2.16,0,0,89.77,1.73,0,0,1.01,0,0,0,0,40.32,0,0,0,929.6,0,8.44,8.58,0,0,18.71,0,0,0,51.13,5.08,0,18.98
