stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,219.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.78,0,0,0,0,0,0,0,0,0
  5-6,53.39,367.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.54,31.5,0,11.64,0,0,44.28,0,0,0,0,0,0,0,0,0,0,328.53,0,0,0,105.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,30.51,0,33.22,0,6.18,30.22,0,0,0,3.85,0,0,0,0,0,0,345.59,8.54,0,0,110.84,0,0,0,37.67,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.21,0,0.81,0,0.98,0.85,0,0,0,1.89,0,0,6.2,46.18,0,0,0,0,0,0,11.1,0,0,2.91,16.86,0,1.76,0,1.92
 24-34,0,0,0,0,0.64,0,3.95,0,1.4,0,0,0,0,9.19,0,0,6.81,112.12,0,4.15,1.05,0,0,0.61,0,0,0,0.66,20.15,0,0,0,0
 36-46,0,0,0,0,0,0,19.21,0,3.55,0,0,0,0,14.07,0,0,2.21,138.96,0,2.47,0,0,0,0,0,0,5.89,0,11.6,0,0.59,0,0
 48-58,0,0,0,0,1.9,0,75.69,0,8.34,0,0,0,0,16.3,0,0,7.47,186.32,0,2.09,0.74,0,0.95,0,0,2.86,0,0,28.32,0,0.51,0,0
 60-70,0,0,0,0,0.57,0,25.38,1.86,7.36,0,0,0,2.05,16.67,0,0,3.26,107.36,0,0.92,0,0,0,3.55,0,0,0,0,17.32,0,0,0,0
 72-82,0,0,0,0,0,0,45.34,0,4.26,0,0,0,0,7.22,0.61,0.49,0.59,70.61,0,2.08,0,0,0,0,0,0,0,0,12.68,0,0,0,0
 84-94,0,0,1.05,0,0,0,25.71,0,3.44,0,0,0,0,27.71,0,0,1.34,40,0,0,0.79,0,0,0,0,0,0,0,5,0,3.09,0,0
 96-106,0,0,0,0,0,0,38.68,0,5.72,3.08,0,0,0,2.74,0,0,1.06,45.21,0,4.42,0,0,0,3.31,0,0,0,0,2.92,1.16,0,0.68,0
108-118,0,0,0,0,0.42,0,21.45,1.22,4.74,0.51,0,0.42,0,8.81,0,0,1.33,51.16,0,4.99,0,0,0,0,0,0,0,0,5.56,0,3.54,0,0.55
120,0,0,0,0,0,0,29.93,0,0,0,0,0,0,1.78,0,0,0,36.28,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0
