stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,10.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,5.67,0,0,0,0,0,0,0,1.83,0,0,0
 24-34,0,0,2.38,0,0,0.83,0,0,0,6.36,0,0,0,0,0.63,0,0,2.36,0,0,0,21.4,2.43,0,0,0.61,0,1.17,0.66,8.9,0,1.56,0
 36-46,0,0,0.59,0,0,3.7,0,0,0,0.77,0,0,0,0,0.57,0,1.14,3.16,0,1.06,0.59,64.52,0,0,0,8.79,0,0,0,3.84,0,3.46,10.37
 48-58,0,0,5.3,0,0,5.09,0,2.76,0,3.03,0,0,0,0,0.65,0,0,3.46,0,0,0.49,101.84,0,0,0,0.82,0,0,0,4.66,0,2.37,0
 60-70,0,0,6.74,0,0,14.36,0,0,0,6.01,0,0,0,0,0,0,0,17.27,0,5.65,16,87.89,0,0,1.49,0,0,0,0,5.89,0,2.37,0
 72-82,0,0.68,3.09,4.49,0,31.83,0,0,0,11.33,0,0,0,0,0,0,0,13.84,0,0,0,426.4,0,0,0,0.61,0,0,0,9.61,2.26,0,0
 84-94,0,0,0,7.42,0,44.32,0,0,0.67,42.43,0,0,3.61,0,0,0.59,4.83,3.45,1.03,0,0,388.55,0,0,0.69,1.93,1.4,0,0,6.81,0,5.09,2.99
 96-106,0,0,8.6,9.32,0,75.27,10.44,0,2.93,50.91,5.54,0.62,0.98,0,0,0,0,6.21,0,0,6.01,549.12,0,2.06,0.87,3.12,0,0,0,0,2.47,3.67,1.22
108-118,0,0,4.54,0,2.42,97.31,0.59,0,0,30.99,1.81,0,0.47,0.95,0,2.23,0,17.32,2.81,2.7,0,853.91,0,0,1.42,4.99,0,0,0,5.92,0.83,4.55,0
120,0,0,22.55,2.86,0,33.73,0,0,0,47.84,0,2.34,1.19,0,1.13,0,0,2.16,0,0,0,1820.54,0,0,0,1.14,0,0,0,3.66,0,0,0
