stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,20.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.98,0,0,3.91,0,0,0,0,0,0,0,0,0
 10-12,0,0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0,0,14.27,0,0,0,0,0,0,0,0,0
 14-21,0.89,0,0,1.82,0,23.32,0,0,0,2.77,1.28,0,0,0,0,0,3.4,0,0,36.65,0,0,3.43,0,0,2.42,0,2.86,20.81,0,0,0
 24-34,0,0,0,3.52,0,53.03,0,0,0,0.7,0,0,0.6,0,0.96,0.65,0,0,2.71,52.77,0.99,0,0,0,4.76,0,0.93,0,13.23,0,2.59,0
 36-46,0,0,0,1.48,0,110.91,0,0,0,0,0,0,0,0,0.57,0,1.85,0,2.38,69.51,0,1.03,0,0,4.58,0,0,0,10.47,0,0.81,0
 48-58,0,0,0,1.09,0,356.38,0.44,0,0,37.22,0,0,0,2.58,0.4,0,12.92,0,0.43,83.97,0,0,0,0,9.05,0,0,0,10.26,0,0.43,0
 60-70,0,0,0,2.9,0,569.25,0,0.99,2.5,545.27,0,0,0,0,0,0,29.83,0,0.68,85.86,0,0,0,0,5.39,0,0,0,25.9,0,0,0
 72-82,0,0,0.56,0.97,2.15,356.66,0.55,0.58,3.82,919.67,0,0,1.73,0,0,0,19.4,3.72,0.92,128.33,0,1.63,0,0,2.03,0,0,0,17.55,0,2.41,0
 84-94,0,0,0,8.1,4.88,305.86,0,0.78,0,807.98,0.99,2.26,0.58,0,0,0,32.35,0,0.58,56.67,0,0,0,0,5.94,0,0,0,6.7,0,1.24,1.13
 96-106,0,0,0,2.72,0,300.59,1.95,0,0,1523.72,0.57,0,0,0,0,0,20.29,0,0.64,66.3,2.35,0,0,0,13.82,0,0,0,1.5,0,2.53,0
108-118,0,0,0,5.62,6.2,224.51,0,0.7,1.06,1364.6,1.17,1.3,0.82,0,0.86,17.36,27,0,3.19,90.76,0,0,0,2.43,6.25,0,0,0,4.23,1.6,0.94,0
120,0,0,0,8.09,0,189.88,2.24,0,0,888.62,0,6.73,0,0,0,0,9.2,2.35,0,84.15,0,3.15,0,0,0,0,0,0,23.46,0,5.29,0
