stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,33.46,11.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.3,64.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,5.78,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.1,0,12.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277.83,8.36,0,0,21.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,9.33,0,379.01,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,11.61,0.9,0,1.9,12.82,1.29,0,0.81,0,0,0,12.14,5.4,1.53,0.88,0,0,0,0
 24-34,0,0,8.32,0,126.01,3.15,0,21.3,0,1.61,0,2.27,0.85,0,0,0.63,2.02,0,0,15.52,0,0,0.96,28.84,5.06,0,0,0,0,0.76,8.81,2.85,0,2.43,0,0,0,0
 36-46,0,0,12.29,0,50.26,1.5,0,14.47,0,0,0,1.39,3.36,0,0,0,0,0,0,6.79,0.73,0.86,0.93,3.3,3.48,0,0,0,0,11.6,8.84,3.54,0,3.05,0,0,1.02,0
 48-58,0,0,2.43,0,86.67,4.55,0,33.04,0,0,0.49,1.29,1.66,0.39,0,0,0.77,1.42,12.16,17.26,3.8,0,0.63,10.7,22.37,0.88,0,0,0,1.08,0.56,4.25,0,5.33,0,0,0,0
 60-70,0,0,3.52,0,59.42,6.08,0,20.66,2.24,1.1,8.55,6.65,0,4.73,1.1,0,2.38,0,0,29.42,1.01,0,0,2.46,8.38,1.03,0,0,0,15.51,0,0.7,0,0,0,0.9,0,0
 72-82,0,0,2.79,0,55.28,9.5,1.11,34.13,3.99,2.15,0.54,0,0,3.31,3.07,0,3.86,0,2.8,52.16,11.99,4.31,1.03,33.03,4.53,0,0,0,2.01,0,2.46,0,0,0,0,5.12,0,3.49
 84-94,0,0,4.52,0,87.03,1.09,0.7,45.3,0,0.66,6.83,0,0,14.18,0,0,1.13,1.73,2.44,20.97,11.61,0.8,1.26,18.43,10.91,2.63,0,0,0,7.5,2.53,1.43,0,1.73,1.38,5.28,0,13.31
 96-106,0,0,4.46,0,82.59,8.44,5.62,21.58,0,2.17,8.44,0,0,8.53,2.96,0,2.89,5.57,4.28,14.35,19.13,1.37,6.42,59.48,1.97,2.96,1.19,0,0,14.3,3.02,7.7,0,0,0.66,6.69,2.2,2.88
108-118,0,0,1.97,0,94.37,9.77,2.73,52.24,0,2.81,17.92,0,0.55,14.13,0.95,4.02,3.81,10.7,4.18,20.97,32.05,8.83,5.72,18.44,1.52,4.22,0,8.11,3.89,12.39,0.42,4.66,0,0,1.57,10.45,2.63,11.98
120,0,0,4.41,0,143.01,3.64,4.64,56.58,0,0,19.38,0,1.85,9.35,2.43,0,9.37,0,1.61,8.84,5.56,0,0,25.56,22.82,2.4,1.16,0,5.29,5.37,0,4.57,0,0,7.54,5.29,0,3.21
