stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,11.99,67.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0,0,0,0
  5-6,26.42,104.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,29.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.45,6.46,0,0,14.38,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.98,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.69,0,0,0,48.75,0,0,0,0,0,3.51,0,0,0,0,0
 14-21,0,0,1.69,2.71,7.45,2.02,0,1.75,0,0,0,1.09,0,0,0,0,0,0,4.33,3.48,0,0,19.64,0,0,0,0,0,0,1.02,0,0.96,19.1,0,0,1.07,0,0
 24-34,0,0,0,0,7.53,0,0,5.9,0,1.37,0,0.96,1.33,0,0,0,0,0,0.79,3.37,0,2.27,55.07,0,0,1.28,0,0,0,0,2.4,0,18.23,0,0,11.01,0,0
 36-46,0,0,0,0,3.24,0,0,7.63,0.66,1.72,0.72,3.7,0,0,0.85,0,0,0.74,0.85,8.66,0,0,65.66,0,0,0.89,0,0,0.67,0,4.09,0,16.06,0,0,7.66,0,1.67
 48-58,0,0,0,0,0.45,0,0,17.22,0,0.39,0,4.04,0,0,0,0,0.98,0,0,8.5,0.4,0.76,54.93,0,2.04,0.52,0,0,0,0,0,0,7.83,0,0,2.07,0,1.1
 60-70,0,0,0,0,1.07,0,0,25.7,0,4.46,0.87,18.21,0.63,0,0,0,0,0,0,14.1,0,0,48.16,0,0,2.05,0,0,0,0,0,0,5.85,0,0.84,0,0,0.79
 72-82,0,0,0.68,0,2.33,5.21,0,20.68,0,0,0.58,11.25,1.91,0.51,0,0,0,0,0,8.27,0.75,0,27.96,0,2.51,6.47,0,2.26,0,0,3.01,0,3.48,0.92,0,0.98,1.53,9.01
 84-94,0,0,0,0,6.65,2.59,0,10.21,1.15,0.66,0,13.52,0,0,0,0,0,1.38,8.59,11.74,0.6,0,37.69,0,0.91,0,0,2.56,0,0,1.21,0,7.54,0,0,10.59,0,2.1
 96-106,0,0,1.07,0,4.51,0,0,27.22,0,0,0,27.54,0,0,0,0.73,0,2.71,0,12.02,0,0.71,20.39,0,2.69,2.57,0,0,1.44,0,0.81,0,4.77,0,0,3.53,0.67,0
108-118,0,0,0,1.06,1.78,0.76,0.55,5.82,0,0.49,2.53,36.53,1.02,0,0,0,2.86,0,2.54,15.31,0,1.94,20.69,0,2.92,2.47,0,0,0.47,0,0.75,0,0,1.74,0,0.77,0,0
120,0,0,3.9,0,1.08,0,0,5.18,0,0,1.6,30.29,6.04,0,0,0,0,0,0,31.5,0,0,28.29,0,3.36,1.66,0,0,2.73,0,0,0,5.26,0,1.54,13.21,0,0
