stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  7-9,0,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.43,0,0,0,0,0
 10-12,0,14.73,0,0,0,0,0,0,0,0,0,0,4.38,0,0,7.09,6.22,0,0,0,0,0
 14-21,47.68,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0.96,3.06,1.24,0,0,0,0
 24-34,132.61,0,28.08,0,0,0,0,0,1.31,0.83,0,0,14.73,0.98,0,0,14.06,1,0,0,0,0
 36-46,121.79,2.67,37.92,0,0,0,0,0,0,0,0,0,2.79,1.13,0,0,32.67,2.17,0,0,0,0
 48-58,77.98,2.14,28.38,0,0,0,10.03,0,0,0,0.5,0,14.6,0.85,0,0,51.16,6.1,0,0,0,0
 60-70,114.68,6.59,30.23,0,0,0.73,1.84,0,0,0.76,0,0.63,7.71,1.33,0,0,102.44,0,0.61,0,0,0
 72-82,54.53,2.04,15.46,0,1.5,0,10.4,0.52,0,0.5,0,0,5.2,1.82,0,0,79.49,0,0,0,0,0
 84-94,140.66,0.56,39.43,0,0,1.76,18.41,2.64,2.07,2.66,0,0,14.33,0.56,0,0,308.61,0,2.66,0,1.25,3.29
 96-106,107.81,1.41,34.92,0,0,0.59,19.27,3.46,2.77,1.6,0,1.72,21.84,1.7,0.73,0,302.91,7.51,2.44,1.01,0,0
108-118,123.25,12.61,40.65,0,2.52,0.49,6.8,4.45,4.67,4.72,0,0,9.54,3.44,0,0,228.37,0,2.94,0,0,0
120,87.84,0,42.35,5.27,0,0,18.27,7.2,0,5.39,0,0,15.78,0,0,0,181.93,0,0,0,3.09,0
