stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,spinal.cord,vasculature
  3-4,25.94,415.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.44,69.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.93,3.54,0,0,0,0
 14-21,0,0,0,1.4,15.08,0,0,0,1.01,0,7.29,0,0,0,0,1.02,1.86,0,0,0,0.86,23.07
 24-34,0,0,0,0,0,0,1.37,0,0,0,14.52,0,0,2.89,0,0.6,18.49,0,2.54,0,4.68,60.53
 36-46,0,0,0,0,0,0,0,0,0,0,29.5,0,0,0,0,0,18.63,0,0,0,2.28,43.02
 48-58,0,0,0,0,0,0,2.29,0,0,0,22.06,0,0,1.85,0,0.38,19.26,0,0,0,3.24,29.44
 60-70,0,0,0,0.9,0,0,0.92,0,0,0.57,39.04,0,0,3.62,0,1.46,8.41,0,0,0,0,7.91
 72-82,0,0,0,0.96,0,0,6.55,0,4.67,0,50.26,0,0,2.19,0,0.7,18.39,0,0,0,2.01,16.23
 84-94,0,0,0,0.66,0,0,6.02,0,0,0,74.15,1.03,0,2.32,0,1.8,0,0,0,0,0,17.31
 96-106,0,0,0,4.64,6.89,0,8.63,0,3.74,1.35,90.45,0,0.59,2.02,0,0.96,4.18,0,0,0,0,21.74
108-118,0,0,0.74,2.4,2.74,0.72,0,0,0,5.32,101.45,0.77,1.1,8.7,4.07,0.57,9.66,0,0,0.42,0,27
120,0,0,0,19.9,0,0,1.29,1.08,0,0,173.33,0,0,2.3,0,0,6.35,1.33,0,0,0,16.66
