stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,53.33,2622.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.57,0,0,0,0,0,0,0,0
  5-6,32.19,600.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.31,0,0,0,6.56,0,58.96,0,0,0,0,0,0,0,0
  7-9,0,15.15,0,14.95,0,0,0,22.35,0,0,0,0,0,0,0,0,0,0,0,0,0,196.7,7.99,0,0,106.47,0,3.28,6.2,0,0,0,0,0,0,0
 10-12,0,21.97,0,4.28,0,9.54,0,16.84,0,0,0,0,0,0,0,0,0,0,0,0,0,481.97,5.13,0,0,59.52,0,7.72,0,0,3.78,0,3.51,0,0,0
 14-21,0,0,0,7.49,55.94,10.38,0,32.19,0.95,0,8.59,2.09,0,0,0,0,0,31.29,20.83,0,16.42,463.84,1.88,9.05,3.29,4.78,0,3.5,0,4.49,0.81,8.52,142.04,0,2.22,0
 24-34,0,0,0.84,1.16,18.16,0,0,34.79,0,0,4.1,1.01,0,0,0,0,0.75,31.76,31.89,0,5.58,442.77,2.85,4.26,6.19,0,0,2.9,0,0,0.65,1.41,83.35,0,2.23,0.6
 36-46,0,0,0,0,4.16,0,0,37.53,0,0,12.04,0,0.63,0,0,0,0,9.93,27.32,1.42,8.21,286.85,0,2.49,4.41,0,0,0,0,0,0,0,46.87,0,0,0
 48-58,0,0,0,0,0,0,0,41.98,0,3.55,17.27,0,0,0,0,0,0,5.85,27.57,1.25,0.82,87.76,0,0,0,0,0.39,1.06,0,0,0,0,13.56,0,0.62,0
 60-70,0,0,0,0,0,0,0,34.35,0,0.72,23.81,0.68,0,0,0,1.28,0,6.29,12.51,0,0,72.91,0,0,0,0,2.07,0.83,0,0,0,0,5.78,0,0.99,1.82
 72-82,0,0,0.56,0,1.64,1.45,0,9.74,0,0.59,4.96,0,0,0,0,0,0,13.59,11.7,1.2,1.88,21.12,0,0,1.53,0,0,0,0,0,0,0,4.82,0.85,2.47,0
 84-94,0,0,0.98,0,8,0.77,1.24,10.82,0,0,1.68,0.6,0,1.03,0,0,0,15.71,10.53,0,2.85,30.2,0,0,6.09,0,0,5.42,0,0,0,0,2.07,0,5.97,0
 96-106,0,0,0,0,0,0,0,6.76,0,0,4.14,0,0,0,1.38,1.03,1.72,18.84,14.35,0.66,2.41,34.21,0,0.71,1.99,0,0,1.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.22,0,0,9.4,0,0,5,0,0,1.57,1.62,0,0,23.37,17.17,1.87,0,32.97,0,0,0,0,0,1.71,0.63,0,0,0,0,0,0.87,0
120,0,0,0,0,0,0,1.6,9.57,0,1.04,8.59,0,0,0,0,0,0,21.38,7.48,0,0,19.58,0,0,1.66,0,0,12.1,0,0,0,0,0,2.71,0,0
