stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,11.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67,0,0,5.96,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,3.54,0,0,0,0,0
 24-34,0,0.66,0,0.61,0,0,0,0,0,0,0,0,0,0,0,0,18.93,0,0,0,5.34,0,3.37,0,0,0,0,0
 36-46,0,0,0,0,2.5,2.28,0,0,0,0,0,0,0,0,2.18,0,55.7,0,0,0,38.45,0,6.65,0,0,0,0,0
 48-58,0,0,0,3.22,0,5.08,0,1.27,0,0,0,0,0,0,0.49,0.63,55.76,2.16,1.17,0,48.74,0,8.16,0,0,0,0,0.89
 60-70,0,0,0,0,3.02,11.85,1.18,0,0,0,0.58,0,0,0,1.05,1.81,74.13,2.13,0,0,52.64,0,8.06,2.13,0,2.67,0,0
 72-82,0,0.87,0,2.63,4.5,24.55,0,0.82,2.99,0,3.86,0,0,0,0,0,76.79,2.7,0.74,0,33.79,0,5.15,0.95,0,0,0,0
 84-94,0,2.97,0,4.7,1.77,12.3,0,2.13,4.26,1.47,0,2.28,0,0,0,0.58,51.17,0.6,0.61,0,82.39,0,0,3.86,2.16,0.59,0,0
 96-106,0,0.87,0,5.08,23.81,21.35,0.59,0.82,9.31,0.68,0,12.76,1.83,2.94,2.62,2.24,39.23,15.28,3.16,0,64.9,0,1.8,0,0,0,0.96,0
108-118,0,0,0.61,11.45,2.23,12.28,0,0.61,2.25,0,0.43,4.72,1.27,0,2.05,0,37.68,12.09,0.84,0,60.44,0,0.47,5.57,0,0,0,0
120,0,0,0,24.68,4.46,0,2.07,0,4.34,0,0,11.05,1.05,0,0,3.67,46.02,33.25,1.05,0,83.13,1.83,0,5.08,0,0,0,0
