stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.32,42.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.25,860.8,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,35.55,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0
  7-9,13.41,40.73,0,24.45,0,0,0,77.2,0,0,0,0,30.15,0,0,0,0,0,0,0,0,0,0,0,448.02,15.7,0,0,182.16,0,3.89,0,0,0,0,0,0,0,0
 10-12,0,19.22,0,40.06,0,4.74,0,55.99,0,0,0,0,13.9,0,0,0,0,0,0,0,0,0,0,0,599.8,18.07,0,0,142.37,0,0,0,26.17,0,0,0,0,0,0
 14-21,0,0,0,5.43,18.65,4.15,0,13.19,0,0,3.41,0,0,0,0,0.89,0,0,0,2.22,13.72,0,0,9.03,175.54,0,0.89,1.04,1.92,0,2.7,9.93,0.87,16.63,52.52,0,0,0,0
 24-34,0,0,0,0,1.34,0,0,15.58,0,0,2.03,0,0,0,0,0,0,0,0,0,12.48,0,0,1.89,116.69,0,0.73,0,0,0,2.25,0,0,3.6,21.81,0,4.32,0,0
 36-46,0,0,0,0,3.3,0,0,119.17,1.17,0.78,8.21,1.39,0,1.52,0,0,0.56,0.67,0,0.77,35.73,0,0.98,7.03,408.85,1.72,1.96,0,0,0,3.66,0,0,0,67.6,0,0,0,0
 48-58,0,0,0,0,1.18,0,0,115.19,0.39,1.45,7.22,0,0,0,0,0,0.41,0,0,3.13,21.54,0.4,1.62,5.64,142.13,0.5,0.57,0.46,0,0,3.12,0,0.46,0,26.38,0.89,0,0,0
 60-70,0,0,0,0,4.63,1.4,0,47.16,1.36,0.9,5.85,0,0,0,0,0,0,0,0,0,14.07,0,0,1.1,84.22,0,0,1.01,0,0,1.98,0,0.62,0,6.1,0,0,0,0
 72-82,0,0,0.61,0,0,6.7,0,83.73,2.44,1.56,3.52,2.66,0,0,0,0,0,0,0,0,31.96,0,2.07,3.3,77.5,0,0,3.7,0,0,2.86,0,0,0,16.6,0,4.48,0,0
 84-94,0,0,0,0,3.37,1.99,0,101.84,0,4.17,5.41,2.59,0,0.8,1.52,1.68,0.9,0.66,0.96,0,30.06,0,2.86,1.79,70.46,0,0.71,0.92,0,0.91,11.4,0,0,0,7.99,0,0.76,0,0
 96-106,0,0,1.28,0,3.1,0,0,51.04,3.45,0,14.34,0.72,0,0,0.57,0,0,0,0,0,32.78,0,5.1,0.85,46.45,0,3.1,0.63,0,0,8.86,0,0,0,4.92,0,1.43,0.79,0
108-118,0,0,0,0,8.08,1.77,0.72,76.54,2.39,0,5.64,4.32,0,0,0,1.56,0,0,0,0,10.6,0,0.76,3.83,80.78,1.74,0,1.31,0,0,4.62,0,0.81,0,1.9,0,3.18,0,1.44
120,0,0,0,0,6.32,13.47,0,60.87,0,0,42.41,12.35,0,0,0,0,0,0,0,0,29.01,0,6.7,9.85,90.78,0,1.09,0,19.84,0,6.33,0,0,0,2.31,0,0,0,0
