stage,erythrocytes,eye,glial,iridophores,mesenchyme,neural,olfactory,periderm,pronephros,spinal.cord,vasculature
 14-21,0,0,1.08,0,0,0.8,0,0,0,0.84,0
 24-34,0,0,1.93,0,0,0.69,0,0.74,0,3.95,2.61
 36-46,0,0,2.14,0,2.26,0,1.55,0.86,0,2.6,0
 48-58,0,0,0.84,0,0,0.41,0,0,0,1.32,0
 60-70,0,0,1.06,0,0,0,0,0.8,0,1.87,0
 72-82,1.34,0.75,1.01,2.56,0,0.57,0,0,1.23,1.98,0
 84-94,0,4.7,0,0,0,3.38,0,0,1.33,0,0
 96-106,0,0,0,0,3.26,0,0,0,0,0.87,0.61
108-118,0,0,0,0,0,0,0,0,0,1.8,0
