stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,110.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,42.77,0,0,3.83,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.88,0,0,0,0,3.03,0,0,0,0
 14-21,0,0,4.12,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0,1.7,0
 24-34,0,1.06,0,0.61,0,0,0,4.59,0,0,0,0,0,5.28,0,0.77,0,0,0,0.69,0,0,0
 36-46,0,0,0,3.05,0,0,5.54,1.61,0,0,0.61,0,0,18.24,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,28.07,0.81,0,0.48,0.9,0,0,0.8,0,0.37,7.23,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,111.36,0,0,0,0,1.42,0,1.93,0,0,34.25,0.73,0,0,0,0,0,0,1.66,0
 72-82,0,0,1.33,200.79,1.06,0.53,0,0.5,0,0,3.31,0,0.75,26.06,0,0,0,0.53,0,0,0.8,1.27,0
 84-94,0,0,0,223.15,1.05,0,1.66,0,0,0,6.02,0,0,4.85,0,0,0,0,0,4.95,0,0,0
 96-106,0,0.95,2.12,152.28,0,0,0,0,4.05,0,4.45,1.38,0,26.37,4.09,0,0,12.95,0,0,0,0,0
108-118,0,0,0,144.44,0,0.56,0,0,0,0.63,4.39,0,0,27.7,0,0,0,0,0,4.03,0,0,0
120,0,16.43,17.76,75.2,8.18,0,0,0,0,0,1.58,0,0,7.18,0,0,0,0,0,0,3.74,1.14,2.94
