stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,17.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.87,0,0,0,5.15,0,0,0,0,0,0,0,0
 14-21,0,31.71,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0,0,0,0,0
 24-34,0,40.35,0.59,1.32,0,0,0,0,0,0,0,0,0,1.56,0,0,0.78,0.89,0,0,0,0,2.35,0,0,2.58,0,0,0,18.78,0,0,0,0,0
 36-46,0,25.61,0,0,0,0,2.14,0,0,0,0,0,0,21.33,0,0,0,0,1.44,0.82,0,1.15,4.79,0,0,0,0,0,0,17.61,0,0,0,0,0
 48-58,0,28.03,0,0,0,0,3.82,0,0,0,0,0.39,0,24.25,0,5.18,0,3.79,0.86,0,0,0,37.98,0,0,0.47,0,0,0,22.06,0,0,0,0,3.07
 60-70,0,58.41,0,5.42,0,0,7.13,0,0,6.36,1.47,20.49,0.7,51.03,0,0,0,46.4,21.47,0,0,0,10.62,0,0,0,0,1.19,0,48.56,0,0,0,0,0
 72-82,0,105.46,0,0.62,0,0,9.75,0,0,0,3.31,203.21,0,88.43,0,0,0,62.09,17.86,8.39,0,0.99,74.79,0,2.38,0.82,0,0,6.41,74.29,0.99,1.87,8.02,0,0
 84-94,0,147.33,0.76,0.66,0,0,25.02,0,0.66,0,1.38,515.16,0,163.07,0,0,0,56.33,30.07,6.98,0,0,92.21,0,0,0,0,0,8.52,135.37,0,0,0,0,0
 96-106,0,108.64,1.05,3.63,12.61,0,76.09,1.2,1.08,0,18.72,771.12,0,377.02,11.91,3.7,0,47.58,4.05,19.78,0,5.92,158.34,1.15,1.76,0.63,0,0,8.14,171.25,2.32,3.44,3.23,0.89,3.22
108-118,0,94.73,0.68,11.63,9.29,1.03,71.6,1.25,1.12,2.98,9.66,1221.45,0,490.98,1.05,1.41,0,135.72,18.49,13.41,2.6,0.72,87.09,1.12,0,2.03,0,0,10.41,163.43,2.16,2.16,12.57,0.42,0.84
120,0,122.32,0,35.7,15.39,0,19.29,0,1.83,0,21.73,818.55,0,1545.55,0,10.95,2.12,135.8,3.1,32.52,0,0,195.61,0,0,0,0,4.22,4.03,101.24,15.77,0,6.05,0,0
