stage,axial,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,glial,gut,heart,immune,lateral.line,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,10.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.02,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0,0,0
 24-34,0,0,0.81,0,0,0,0,0,0,0,0,1.59,0,7.46,0,0,2,0,0.6,0,0,1.3
 36-46,0,0,0,0,0,6.42,0,0,0.87,0,0,3.89,0,4.37,0,0,0,0,0,0,0,1.08
 48-58,0,0,0,0,0,5.53,0,0,0,0,0.38,0.71,0,5.28,0,0,3.05,0,0,0,0,0
 60-70,0,0,0,0,0,1.94,0,0,0,0,0,0,0,8.26,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.86,0.49,1.03,0,0,0,0,0,0,15.94,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.11,1.76,0,0,0,0.7,0,1.11,0.67,12.02,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,15.62,1.26,0,1.16,0,0,0,0,0.92,17.52,1.2,0,0.64,0,0,0,0,0
108-118,0,0,0,0.73,4.28,2.7,0.93,1,0,0,0,1.16,1.48,11.06,0,3.33,0.94,0,0,1.16,1.11,0
120,0,0,0,0,0,3.27,0,0,0,0,0,0,1.41,15.34,0,0,0,0,0,0,0,0
