stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,12.81,158.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0
  5-6,28.69,158.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,8.54,0,3.32,0,0,11.61,0,0,0,0,0,0,0,0,0,0,0,0,0,270.41,36.92,0,0,204.53,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.04,0,0,14.48,0,0,0,0,0,0,0,0,0,0,0,0,0,364.41,51.92,0,0,168.74,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7.89,18.72,0.96,0,0,1.22,1.19,0,0,0,0,0,0,17.36,0,3.16,13.45,8.03,0,1.24,6.71,0,0,0,6.37,0,3.12,21.53,0,5.54,0,0
 24-34,0,0,0,9.21,0.59,0,0,1.95,0,0,0.77,0,0,0,0,0,86.93,0,14.61,35.29,0.7,0,0,0,0.99,0,0,0,0,0.8,5.63,0,44.53,0,1.76
 36-46,0,0,0,0,0.89,0.79,0,3.32,0.71,0,4.87,0,0,0,0,0.58,144.2,6.33,18.94,25.15,2.31,0,0,0,0,0,0.81,0,0,0,6.64,5.7,12.73,0,6.22
 48-58,0.58,0,0,1.06,0.52,5.23,1.68,8.4,8.18,0,1.21,0.4,3.07,0,0,0.68,247.84,4.07,31.96,46.77,0.56,0,0.5,0,0,0,0,0,0.47,0,2.79,0.93,12.13,0,0
 60-70,0,0,0,0.6,0,7.16,0,6.5,3.59,0,3,0.57,2.88,0,0,3.6,285.13,11.25,27.11,70.02,0.57,0,0,0,0,1.48,0,0,0,0,6.62,8.39,9.99,0.73,0
 72-82,0,0,0,3.4,7.74,27.24,0.55,9.97,14.46,0,2.55,0.53,0,1.05,0,0,438.29,13.46,20.23,80.84,0,0,0,0,3.53,0.57,0,0,1.62,0,4.09,7.91,14.89,7.74,3.06
 84-94,0,0,0,3.09,24.9,30.69,0,5.59,0.93,0,0,0.91,1.83,0,3.72,11.49,374.42,29.78,18.59,51.86,0.79,0.56,0.79,0,2.44,0,0,0,0.62,0,13.56,8.03,30.34,16,1.29
 96-106,0,0,0,0.97,14.18,9.1,1.9,4.87,4.61,0.63,1.95,0,0,0,0,9.65,439.44,19.94,16.93,67.9,0.64,1.23,4.53,0,11.74,0,0,0,0,0,8.78,8.58,38.49,18.63,0
108-118,0,0,0,2.56,23.75,19.69,0.61,15.71,8.04,3.8,8.73,0,1.64,0,0,0.64,499.64,20.38,27.74,59.45,5.14,0,0,0,5.97,0,0,0,0.88,0,5.45,8.49,18.95,15.94,2.97
120,0,0,0,2.63,41.3,21.19,0,0,5.09,0,2.11,0,0,0,0,0,226.51,8.24,9.28,64.06,1.77,0,2.25,0,0,0,0,0,1.08,0,4.03,0,12.9,35.48,0
