stage,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,neural,olfactory,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,10.33,17.02,0,0,0,0
 14-21,0,8.1,0,0,0,0,0,0,0,0,0,1.23,0,0.92,0,0,61.9,0,0,0,0
 24-34,0,2.92,0,0,0,0,0,6.16,4.74,0,0,0.64,1.37,13.43,1.25,0,356.56,9.38,2.3,0,0
 36-46,0,9.05,0.73,0,2.45,0,0,0,12.58,0,0,0,8.63,3.86,1.67,0,465.61,0,0.63,0,0
 48-58,0,39.28,9.34,0,2.56,0,0.43,0,3.14,1.69,0,0,7.49,5.45,2.09,0,238.77,0,0,0,0
 60-70,0,36.27,0,0,7.39,0,7.81,0,12.26,0,0,0,3.73,6.31,1.27,0,220.03,0,0,2.88,0
 72-82,0,77.92,2.21,0,1.47,0,1.54,0,3.39,0,0,0,0.51,0.86,0.97,0,85.13,0,0,2.32,0
 84-94,0.98,166.03,1.7,0,2.2,1.02,15.03,0,6.93,0,0,1.89,3.05,3.57,2.12,0,115.04,0,0,9.47,0.7
 96-106,0,173.25,0,0,0,0,9.19,0,6.67,0.75,0,0,8.61,8.7,0.9,0,52.98,0,0,0,0
108-118,0,192.06,2.33,0.98,0.65,0,19.21,0,9.25,0,0,2.65,0,7.96,1.94,0,60.14,0,0,8.91,0
120,0,375.4,2.3,0,2.14,0,33.81,0,53.1,0,2.7,0,0,16.07,0,0,201.06,0,0,7.57,0
