stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,0,38.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,15.77,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0.86,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.77,0,0.84,0,0,0,0,0,0,0,0,0,0,47.5,0,0,10.1,0,8.51,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.67,0,0,0,0,0,0,0,0,0,0,252.34,0,0,27.4,3.07,23.29,0,0,0,0,0.61,0,0,0
 48-58,0.58,0,0,0,0,3.19,0,9.61,0,0,0,0,0,0,0,0,477.4,0,0,58.85,21.7,43.64,0,0,0,0.62,2.15,0,0.61,0
 60-70,0,0,0,0,0.81,9.09,0,43.39,0.71,0,0,0,0,0,0,0,834.13,0.9,0,55.69,2.97,57.28,0,0,0,0,1.34,0,5.96,0
 72-82,0,0,0.5,1.59,0,27.64,0,53.25,1.52,0,0,0,0,0,0,7.54,947.26,0,3.95,76.44,26.3,21.69,6.8,0,3.97,0,2.7,0,4.19,0.74
 84-94,0,0,1.46,0.94,0,31.39,5.07,28.34,0,0,0,2.23,0,0,0.66,0,741.67,0,0,52.84,1.8,34.67,0,0,0,0,2.01,0,9.14,1.73
 96-106,0,0,0,1.75,0,10.8,2.6,35.93,0,1.5,0,0.64,0,0,0,0,833.29,7.77,3.04,47.26,6.82,21.69,0,0,1.11,0,0,0,13.37,12.58
108-118,0,0,0,6.68,0,20.94,0.44,30.94,1.59,0,0,0,0,1.07,0,1.13,711.13,0.71,10.43,29.67,22.15,21.97,0,0,0,0.81,0,0,12.8,0.66
120,0,0,0,3.12,0,14.03,0,66.74,0,0,2.27,1.69,2.78,0,0,1.45,818.74,0,14.21,13.83,53.29,4.85,0,0,0,0,0,2.31,0,0
