stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,somites,spinal.cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,4.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.39,0,0,0,0,0,0,0,0,0,0
 14-21,0.92,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.56,0.9,0,0,0,0,0
 24-34,0,0,0,0,1.38,0,0,0,0,0,0,0.62,2.52,0,0,0,1.49,0,0,35.43,0,0,0,208.07,0,0.75,5.83,0,0,0
 36-46,0,0,0,0,1.28,1.04,0,6.75,0,0,0,0,0.66,0,9.57,2.8,0,0,2.72,22.56,1.42,0,0,309.5,0,0,0,0,0,0
 48-58,0,0.82,0,0,8.37,0,0,1.64,0,1.19,0,0,8.66,0,0,3.22,2.33,0,0.45,44.2,1.77,0,0,255.42,0,0,0,0,0,0.56
 60-70,0,5.31,0,0,11,1.83,0.64,0,1.36,0,0,0,16.63,0,0,1.74,1.43,0,3.42,31.86,3.37,0,0,262.89,0,0,2.02,0,0,0
 72-82,0,16.21,0.59,0,5.27,0.64,0,0.56,0.66,0,0.52,1.84,34.61,0,0,7.75,1.8,1.23,0,32.33,0,0.53,0,170.6,0,0,0,0,2.61,0
 84-94,0,34.35,6.43,0,17.21,2.32,0,5.03,0,0,0,4.04,31.96,0,0,40.77,1.66,0,0,59.14,0,3.36,0,451.12,0,0,0,0.62,0,0
 96-106,0,63.5,4.69,0.97,13.14,4.08,0,19.01,5.08,0,0.78,15.85,106.53,2.28,0,45,8.54,0,0,37.61,1.51,0.91,0,492.59,0,0,2.51,0.83,0.65,0
108-118,0,46.52,1.37,0,17.9,4.81,0,10.16,3.52,0,0.42,13.01,97.96,0,0,34.61,12.03,0,0,31.61,0.55,4.25,0,411.47,0,0,0,1.16,0,0
120,0,70.64,0,0,2.41,4.51,0,0,0,0,1.38,1.65,35.94,0,0,46.51,2.13,0,0,65.61,0,0,0,296.43,0,0,0,1.06,0,0
