stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,melanocytes,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,13.4,0,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,0,0
 14-21,0,0,0.9,0,0,0,0,1.05,0.82,0,4.11,0,0,0,0,2.59,4.06,0,0
 24-34,0,0,0,0,1.18,0,2.2,0,0.96,0.96,16.75,0,0,0.68,0,0,4.75,4.75,0.89
 36-46,0,0,0,0.57,0,0,0,0,2.95,0,33.66,2.39,0,0,0,0,3.56,0,0.98
 48-58,0,0,3.81,3.08,0,0,4.32,0,0,0,46.17,0,0,3.27,0.53,0,11.56,0,2.03
 60-70,0,0,0,26.88,0,3.35,8.27,0,0.64,0,27.45,0,5.64,1.33,0,0,3.23,0,9.25
 72-82,0,0,0,9.55,0,0,11.5,0,8.25,0.96,43.12,0,0,0,0,0,9.24,0.98,4.68
 84-94,0,0,0.76,5.68,0,0,0.59,0,2.55,0,50.29,0.64,0,1.99,0,0,9.16,0,0
 96-106,0,0,0,6.05,0,0,8.78,0,1.33,0,10.74,0,0.69,3.16,0,0,0,0,0
108-118,0,0,0,9.39,0,0,14.66,0.68,4.23,0.9,18.68,0,0,1.53,0,0,1.98,0,4.84
120,0,0,0,23.45,1.42,0,0,0,27.38,0,1.94,0,3.12,0,0,0,11.04,5.28,0
