stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,presomitic_mesoderm,spinal_cord,vasculature,xanthophores
  3-4,18.39,207.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,7.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,0,0,3.56,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79,0,0,0,1.64,2.74,0,0
 24-34,0,0,3.29,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0.68,48.75,0.94,0,0,0,9.24,0,0
 36-46,0,0,0,0,0,19.39,0,0,0,0,0,0,0,0,0,0,3.77,0,144.84,9.13,0,0,0,34.4,0,0
 48-58,0,0,0,0,0,32.73,0,0,13.94,0,0,0,0,0,0,0.62,1.52,0,208.16,2.17,0,0,0,24.57,0.42,0
 60-70,0,0,0,0,0,105.67,0,0,4.08,0,0,0,0,0,0,0,0.86,0,376.52,0,0,0,0,49.54,0,7.73
 72-82,0,0,3.1,0,0,109.91,0,0.51,6.75,0,0,0,1.42,0,1.03,0,1.87,0,293.63,7.31,0,0,0,47.9,1.52,0
 84-94,0,0,0,0,0,109.2,0,0,3.1,0,0,0,0.7,0,0,0,1.54,1,196.04,12.75,0,0,0,21.41,0.6,0
 96-106,0,0,0,0,9.83,107.99,0,0,13.18,1.68,0.66,0,0,0,0,0,3.06,0,143.41,9.85,0.98,0,0,11.27,3.62,0
108-118,0,0,0.57,0,0,43.33,1,0,6.67,0,0.43,0,0,0,0,0,3.16,0,244.96,3.19,3.17,0,0,4.13,0,0
120,0,0,0,10.56,0,42.24,0,0,30.12,0,0,0,0,3.39,0,0,4.1,1.58,344.26,0,0,0,0,5.59,1.23,0
