stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,23.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,16.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.86,7,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,9.4,0,9.09,0,0,0,46.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.89,18.32,0,0,9.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.6,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,2.73,0,0,30.44,5.35,0,0,2.04,0,0,0,1.46,0,23.58,0,1.22,0,0
 24-34,0,0,0,0.75,9.25,0,2.61,0,0,0,0,0,0,0,0,0,0,0.76,7.16,0,1.96,354.85,0,4.87,0,0,0,1.71,0,0,1,94.98,0,13.68,0,0
 36-46,0,0,0,1.07,0,0,25.03,0,0,0,14.86,0,9.47,0,7.65,0,0,0,11.69,0,2.1,866.29,0,4.55,0,0,0,0,0,0,0,166.17,0,3.76,0,0
 48-58,0,0,0,8.38,0,0,77.2,0.67,0,0.42,9.25,0,0.89,0,0,0,0.93,0,25.45,0,0.73,1510.44,5.29,2.47,1.01,0,0,4.82,0,0,2.4,211.94,0,1.34,0,0.67
 60-70,0,0,0,15.9,1.65,0,228.97,0,3.43,0,23.13,0,0,0,0,0,1.16,0,19.91,0,1.27,2039.79,0.66,0.92,1.78,0,0,2.41,0,0,0,246.65,0,0.82,0,0
 72-82,0,0.64,0,11.36,0.5,0,244.02,0,0,1.17,23.78,0,0,2.57,0,0,0,1.68,27.99,0,0.71,1857.09,0,0,1.06,0,0,6.9,0,0,0,157.56,1.61,1.55,1.14,0
 84-94,0,0,0,8.76,0,0,136.83,0,0,0,29.89,0,0,0,0,0.67,0,0,20.18,0,3,1226.17,0,2.69,0,0,0,14.54,0,0,0,86.87,0,1.68,0,0
 96-106,0,0,0,3.92,0,0,117.31,0,0.96,1.27,20.34,0,0.97,0,1.5,0.63,5.47,0,9.32,0.62,1.2,992.02,0,1.82,0.85,0,3.05,0,0,0,0,35,1.82,0,0,0
108-118,0,0,0.74,13.4,0,0.5,152.02,0,0,1.47,31.01,1.04,0,1.71,1.88,1.01,0,0,30,0,1.56,1058.11,0,1.07,3.44,0,0,1.58,0,0,0,31.02,2.14,0,0,0
120,0,0,0,37.41,0,0,365.93,0,0,0,22.8,0,0,7.03,5.74,0,0,0,27.94,0,1.11,2224.17,0,0,0,0,0,3.23,1.53,0,0,53.14,0,10.03,0,0
