stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,145.7,2782.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.1,0,0,0,0,0,0,0,0
  5-6,87.25,1235.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.54,0,0,0,9.21,59.96,0,0,0,0,0,0,0,0
  7-9,26.6,62.96,78.69,0,0,0,198.4,0,0,0,0,47.24,0,0,0,0,0,0,0,0,0,1348.54,37.2,0,0,527.87,5.09,4.85,0,0,0,0,0,0,0
 10-12,0,37.48,48.92,0,0,0,178.17,0,0,0,0,17.28,0,0,0,0,0,0,0,0,0,1547.89,27.27,0,0,298.79,0,14.82,0,45.3,0,0,0,0,0
 14-21,0,0,7.65,36.24,13.82,0,51.01,0,0,15.37,1.58,0.91,0,0,0,0,0,0,21.27,0,5.04,559.43,7.37,0,3.69,9.27,7.87,1.16,19.34,1.37,34.99,132.71,0,0,0
 24-34,0,0,0,4.88,1.72,0,98.12,0,0.86,17.98,0,0,0,0,1.54,0.63,0.91,0,58.32,0.89,9.82,861.38,0,1.61,3.53,0,11.76,0,0,0.7,0.64,127.47,8.94,0,0.89
 36-46,0,0,0.56,3.53,0,0,152.25,0,0,4.05,0.95,0,0,2.75,0,0,0,1.07,27.18,2.44,4.97,420.55,0.66,2.17,0,0,14.59,0,0,0,0,74.37,3.45,0,1.54
 48-58,0,0,0,6.87,0,0,222.29,0,0,8.82,0,0,0.9,7,5.51,9.59,0,0,27.23,0.84,1.88,198.78,0.66,0.43,1.56,0,5.62,0,0,0.38,0,28.84,3.04,0,0.48
 60-70,0,0,0,8.73,0,2.15,127.52,1.19,0,11.06,0,0,0,3.07,0,5.32,0,0,26.76,9.03,1.56,164.68,0.62,0,1.35,0,2.94,0,0,0,0,5.43,1.82,0,7.95
 72-82,0,0,0,5.17,0,0,95.45,0,1.99,17.87,0,0,0.66,4.13,0.73,1.29,0.5,3.31,29.7,2.31,4.94,83.29,0,0.95,6.94,0,5.91,0,0,0,0,16.4,0,0,0
 84-94,0,0,0,14.89,3.32,0,63.6,1.16,0,12.19,1.13,0,0,7.31,0,3.09,0,0,46.04,2.17,12.13,78.35,0,2.62,7.36,0,4.27,0,0,0,0,0.58,3.12,0,0
 96-106,0,0,0,8.8,0.8,1.94,40.36,2.42,0.72,16.82,0,0,0,0,0,3.78,6.53,0,23.67,1.41,3.21,86.73,0,0.87,3.57,0,4.28,0,0,0,0,5.05,7.31,1.36,0.85
108-118,0,0,0,7.83,1.42,0,54.29,1.74,0,15.16,1.18,0,0,1.78,0,5.09,4.77,3.15,29.13,4.79,2.3,136.63,0,1.03,5.95,0,6.31,0.79,0,0,0,10.49,0.93,0,0
120,0,0,0,9.79,0,0,28.61,1.06,0,28.27,2.42,0,0,1.45,2.26,8.53,0,2.32,36.13,0,9.03,97.17,0,10.48,4.54,0,18.34,0,0,0,0,0,7.74,0,0
