stage,epidermis,eye,glial,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,spinal.cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.84
 24-34,0,0,0,0,0,0,0,0,1.25,5.98,0,0,2.81
 36-46,0,0,0,1.84,0,0,0,0,0,1.89,0,0,0.57
 48-58,0,1.38,0,0,0,3.66,0,0,0,12.95,0,0,5.2
 60-70,0,4.99,0,0,0,0,0,0,0,13.16,0,2.77,4.03
 72-82,0.54,27.41,1.18,0,0,0,0,0,0,28.61,0,0,0
 84-94,0,22.04,0,0,0,0,0,0,8.23,8.84,0,0,1.68
 96-106,1.62,13.61,2.8,0,2.44,0,1.7,0,0,12.93,1.13,0,0
108-118,0,15.52,1.62,0,0,0,0,0,0,7.61,0,0,0
120,0,8.34,0,0,0,0,0,1.45,0,15.8,1.61,5.18,0
