stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,61.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.51,0,0,0,7.07,0,5.07,0,0,3.69,0,0,0,0,0,0,0,0
 14-21,0,6.24,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26,0,0,2.21,5.08,0,0,0,0,0,25.68,0,5.29,0,1.62,12.69,1.05,0,0,0,0,0
 24-34,0,27.59,0,0,0,0,5.4,0,1.36,0,0,0.82,0,0,0,0,0,0,0,7.06,0,0,0,22.22,0,2.19,0,0,0,180.01,0,0,0,0,1.4,5.88,0,0,0,0,0
 36-46,0,27.72,0,5.89,0,0,22.19,0.87,0,0.65,0,0,0,0,0,9.55,0,0,4.74,28.97,10.83,0,2.19,31.48,0,0,0,0,0,209.9,0,0,0,0.7,1.38,1.6,0,0,0,0,0
 48-58,0,23.74,0,8.07,0,0,38.29,0.81,2.59,0.4,8.89,4.17,7.66,2.25,0,0.37,0,0,4.41,129.67,5.14,0,0.92,38.97,0.99,0,0,0,0,124.81,0,0,0,0,0,4.32,0,0.98,0.43,0,0
 60-70,0,6.24,0,10.99,0,0,144.04,0,7.52,8.08,19.69,0.85,11.66,0,0,0,0,0,4.42,507.41,1.02,0,10.15,45.08,0,0,0,0,0,108.93,0,0,0,0,0,17.49,0,9.02,0.96,0,0
 72-82,0,23.58,0,10.22,0.63,0.52,218.03,5.56,0,2.42,61.13,1.96,2.53,1.84,0,0,0,1.28,27.52,693.87,9.56,0,2.19,64.84,0,0,0,0,0,43.36,0,0,0,0,0,7.77,0,32.74,3.67,7.7,0
 84-94,0,15.9,0,27.97,0.85,3.51,534.9,1.36,0.66,6.05,72.87,7.96,7.08,4.8,0,2.98,0,0,151.45,701.83,9.35,0,0,33.83,0,0,0,0,8.23,232.13,1.4,0,0,0.79,0,11.66,0,4.03,0,5.98,0
 96-106,0,16.81,0,41.54,1.49,10.82,607.88,0,6.04,0.85,157.19,7.45,1.06,3.21,2,0,0,0,240.75,894.65,8.81,0,13.4,105.07,0,4.15,0,0,24.45,210.1,0,0,0.71,0,0,8.25,0.71,28.16,2.93,6.31,0
108-118,0,15.05,0,99.63,10.62,47.26,907.36,4.15,12.28,2.78,182.19,8.93,0,1.82,0.84,4.79,3.21,2.43,483.96,990.37,21.72,2.91,10.22,104.54,0,0,1.89,0,43.06,216.29,0,0,0,0,0,20.81,0.55,20.87,1.83,1.22,6.79
120,0,5.54,0,121.62,1.94,7.37,625.45,0,13.55,6.82,149.52,4.98,0,0,5.69,1.06,0,0,181.25,621.78,3.31,0,3.96,180.32,6.07,0,15.67,0,96.69,199.84,0,0,0,0,0,7.52,0,10.5,6.48,0,0
