stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,lateral.line,mesenchyme,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,78.41,2609.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.97,0,0,0,0,0,0,0,0
  5-6,66.33,694.63,0,0,0,0,0,0,0,0,0,0,16.59,8.9,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.19,0,0,0,0,0,0,0,0,0,0,0,17.64,0,0,9.37,0,10.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,13.63,0,0,0,0,11.92,0,0,0,0,0,0,0
 14-21,0,0,9.94,1.17,0,0,0,0.84,0,1.97,0,2.2,0,0,0,0,0,0,6.11,0,0,0,0,0,0
 24-34,0,0,4.93,0,0,0,0,0.89,0,25.51,0,0,22.45,0,0,0,0,0,0,9.98,0,0,0.81,0,0
 36-46,0,0,0,0,0.69,0.63,0,0,0,31.69,0,1.31,37.85,0.66,0,0,0,0,0,15.24,0,0,1.05,0,0
 48-58,0,0,0,0,0,3.57,1.05,0,0,23.89,0,0.55,43.92,0,5.58,0,0,0,0,13.76,0,0,0.98,0,0
 60-70,0,0,0,0,0,21.78,0,0,3.45,47.79,0,1.59,53.62,0,0,0,2.58,0,0,6.63,0,0,0,0,1.18
 72-82,0,0,0,0,1.11,31.4,4.99,0,0.89,45.23,0,0.6,61.86,0,1.99,0,0,0,0,1.77,0,0.91,8,0,0
 84-94,0,0,0,0,0,19.9,1.49,0,0,97.03,0,0,23.25,0,1.26,0,0,0,0,6.59,0,0,4.73,0,0
 96-106,0,0,0,0,3.59,14.1,1.22,0,1.42,64.98,0,2.7,37.33,0,0.64,0,2.09,0,0,0,0,0,3.98,0,0
108-118,0,0,0,0.45,0.47,10.15,0.96,0,0.78,54.44,0,1.03,35.13,0,0.45,0,0,0,0,0.47,0.89,0,3.4,2.47,0
120,0,0,0,16.92,1.38,17.57,5.15,0,0,72.5,1.15,9.54,27.33,0,0,0,0,0,0,0,0,0,2.92,0,0
