stage,blastomeres,epidermis,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal.cord,vasculature,xanthophores
  5-6,6.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.51,0,0.87,0,0,0,0,0,0,0,0,0,0,5.29,1.26,0,0
 24-34,0,13.42,0,1.28,0,0,0.62,0,0,0,0.84,0,5.53,0,32.53,1,0,0
 36-46,0,19.85,0,13.73,0.64,0,0,0,0,0.64,0,0,0.69,1.55,25.14,0.71,0,0.57
 48-58,0,8.03,0,2.07,0,0,0,0,0,0,0,0.98,5.05,0,9.09,0,1.56,6.84
 60-70,0,28.18,0,6.23,0.77,0,0,0,0,0,2.4,0.68,5.93,0,19.63,0,0,0
 72-82,0,8.83,0,4.77,0.77,0,0.68,0,0,0,1.47,0,8.88,0,29.05,0,0,0
 84-94,0,4.88,0,6.31,0,0,0,0,0,6.96,2.51,0,0,0,43.46,0,0,0
 96-106,0,18.67,0,2.88,0,0.59,1.69,0,0,0,0,0,10.15,0,55.98,0,0,0
108-118,0,17.07,3.35,10.52,0,0,0.88,3.94,0.6,6.49,0,0,0,0,41.84,0,0,0
120,0,10.27,4.54,2.25,0,0,0,0,0,7.55,0,0,0,0,21.04,0,0,0
