stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,41.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,13.98,0,0,0,0,0,0,0
  7-9,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.31,0,0,0,0,0,0,0,0,9.27,0,0,0,3.74,0,0,0,0
 14-21,0,0,0.86,0,0,10.55,0,0,0,0,0,0,6.14,9.51,0,0,0,0,0,20.59,0
 24-34,0,0,0,0,0,12.28,0,0,0,0,0.72,0,11.47,0,0,0.65,0,1.71,7.08,39.86,0
 36-46,0,0,0,0,0,12.16,0,0,0,0,0,0,6.96,0,0,1.1,0,0,1.03,16.96,0
 48-58,0,0,0,0,0.72,25.3,1.92,0,1.69,0,0,0,9.15,0,2.66,2.35,0,0,0.43,41.81,0
 60-70,0,0,0,0,4.43,19.39,0,0,0,0,0.68,0,4.51,0,0,0,0,0,0,32.06,0
 72-82,0,0,0,0,1.87,35.32,0,0,0,0,0,0,12.03,0,0.74,0,0,0,0,8,0
 84-94,0,0,1.5,0,5.29,34.09,0,0,0,0,1.58,0,8.16,0,3.34,3.45,0,0,0,32.94,0
 96-106,0,1.07,0.62,0,3.46,28.75,0,0,3.29,0.65,0.66,1.2,5.79,0,0,7.4,0,0,0,11.99,0.7
108-118,0,0,0.72,0,1.46,24.18,0,0,1.59,0,0,0,6.82,0,1.29,4.98,0,0,0,11.8,0.53
120,0,0,0,0,17.3,40.74,0,1.18,0,0,10.27,0,4.47,0,3.8,3.28,0,0,0,0,0
