stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,11.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,33.33,0,0,0,4.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.56,11.42,0,0,33.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.07,0,0,0,0,0,0,0,0,0,3.59,0,0,0,0,0,0,0,0,0,0,0,163.48,0,0,0,27.33,0,11.75,12.01,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,26.74,0,0,6.96,0,0,0,0.86,0,0,0,0,29.3,0,0,0.92,0,4.15,1.89,0,1.58,91.33,3.41,9.93,12.87,0,0,163.76,0.91,31.04,2.3,1.88,9,0,0,0,0,0
 24-34,0,0,0.62,1.96,35.59,0,0,12.86,0,2.75,0,10.59,0.73,0,5.43,0,110.84,0,19.8,4.01,0,21.79,25.49,0,2.26,295.68,46.22,40.75,24.24,0,0.99,296.53,0,61.75,0,2.45,41.54,0,0,33.4,0,0
 36-46,0,0,0,0.76,45.4,1.2,0,28.34,0,6.58,1.26,45.95,2.36,0,13.81,0,129.73,0,16.9,0,8.19,31.34,76.23,0,11.06,311.26,40.74,30.14,21.55,0,0,1035.28,0,47.12,0,0,32.66,0,0.62,46.22,0,12.81
 48-58,0,0,0,0,29.9,0.41,0,42.82,0.53,17.85,3.19,45.57,2.91,0,5.81,0,61.36,0,7.71,4.43,4.1,66.23,54.24,2.5,4,171.29,11.99,18.76,14.25,0,0,835.65,0,39.19,0,0,85.69,0,2.2,35.57,0,5.69
 60-70,0,0,1.39,0,36.47,0,0,90.12,0.63,26.89,2.51,167.32,9.85,0,0,3.2,33.74,0,24.51,9.86,0,380.55,47.22,5.45,10.13,205.89,17.47,17.91,30.2,0,0,575.53,0,14,0,0,97.97,4.31,7.61,26.55,9.17,3.97
 72-82,0,0,14.45,0,72.73,0.91,0,197.41,5.78,10.99,2.78,495.47,40.07,0,6.05,1.79,37.82,0,21.99,2.79,0.69,1038.73,83.62,9.39,12.19,192.01,4.9,25.08,30.49,0,2.81,373.9,0,29.13,0,0,93.59,24.28,45.84,120.02,41.07,3.59
 84-94,0.62,0,15.62,1.04,131.85,7.6,0,123.92,4.56,62.99,0.74,415.35,53.43,0,17.78,1.4,68.87,0,42.57,6.25,2.38,983.51,131.4,12.93,12.65,126.58,3.37,39.94,28.78,0,10.51,1571.17,2.8,35.14,0,0,71.54,56.91,29.26,112.37,67.04,0
 96-106,0,0,11.23,0,204.67,19.02,1.93,172.22,5.39,54.07,13.43,506.91,105.22,0,9.2,5.71,97.74,2.46,69.32,8.45,0.75,1347.54,138.77,34.78,39.41,314.49,20.2,64.29,56.71,0,28.29,1819.4,12.65,24.51,0,0,66.3,115.59,71.63,215.43,114.34,3.81
108-118,0.67,0,14,0.73,297.1,6.82,0,180.29,0.86,163.34,6.54,634.17,146.4,0,10.75,7.39,152.93,0,70.05,19.97,16.17,1580.85,186.62,39.78,43.14,263.85,24.34,36.4,77.7,0,49.11,3430.48,0,30.7,0,0,54.13,133.66,45.48,195.11,92.63,5.47
120,0,0,6.75,0,138.3,0,0,147.3,0,45.34,0,611.22,142.48,0,12.12,1.06,41.4,1.87,55.5,24.03,4.07,1317.42,63.72,19.8,39.45,292.95,29.05,37.46,52.98,0,18.23,1002.72,0,26.32,0,0,34.25,81.24,70.34,173.01,136.04,1.1
