stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.76,106.17,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.73,5.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.83,0,0,17.88,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,3.01,0,0,14.85,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.08,0.84,0,0,0,0,0,0,0,0,0,0,0.82,7.11,0,0,0,0,0,0,1.76,8.46,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.19,0,0,0,0,0,0,0.68,0.69,0,57.36,0,0,0,0,0,0,0,8.03,0,0,2.59,0
 36-46,0,0,0,0,0,0,0,14.63,0,0,0,0,0.74,0,0.67,0,0.92,53.91,0,0,0,0,10.28,0,0,10.61,0,0,2.32,0
 48-58,0,0,0.44,0,0,0,0,12.95,0,2.34,0,0.5,0,0.4,1.99,0,0,20.38,0,0,0,0,9.72,0,0,2.94,0,0,0,0
 60-70,0,0,0,0,0,0,0,19.76,0,1.81,0,0,0,0,3.31,0,0,17.75,0,8.41,0,0,10.26,1.38,0,1.49,0,0,0,0
 72-82,0,0,0,0,1.48,0,0,6.9,0.67,1.6,4.97,0,0,0,13.65,0,0,20.91,0,0,0,0,0,0,0,3.5,0,0,0,0
 84-94,0,0,0,0,0,0,0,9.89,0,0.6,7.13,0,0,0,1.01,0.57,0,3.4,0,0.91,0,0,3.67,0,0,0,0.81,0,0,0
 96-106,0,0,0,0,0,0,0,4.26,1.64,1.9,12.89,0,0,0.71,0.93,0,0.57,3.67,0,0,0,0,0.99,0,0,0,0,0,0,0
108-118,0,0,0,0,0.99,0,0.72,22.01,0,0,10.76,0.81,1.07,0,11.79,0,0,22.11,0.67,0,0,8,1.39,0,0,0,0,0.99,0,1.8
120,0,0,0,0,0,3.26,0,31.58,0,0,9.93,0,0,0,1.93,0,2.53,10.24,0,0,0,0,0,0,0,0,0,0,0,0
