stage,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,neural,notochord,olfactory,otic,periderm,pgc,pronephros,spinal.cord,vasculature
  3-4,41.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.26,0,0,0,0,0,0,0,0
 10-12,0,27.66,0,8.51,0,0,0,0,0,0,0,0,0,20.5,10.76,0,0,0,5.47,12.63,0,0
 14-21,0,1.01,0,0,0,0,0,1.75,0,0,0,0,0,2.25,0,0,0,1.51,0,0,5.66,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35,0,0,1.73,1.19,0,0,5.05,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,12.11,0,1.38,0,0,0,0,4.83,0
 48-58,0,0,0,0,0,0,2.15,0,0,0,0,0.91,0,18.69,0,0,0,0,0,0,4.37,0
 60-70,0,0,0,4.52,0,0,9.62,0,0,0,0,0.59,0.7,7.28,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,4.36,0.51,26.48,0,0,0,0,12.75,0,0,0,0,0,0,0,3.54
 84-94,0,0,0.66,0,0,0,5.96,0,59.72,0,0,0,0,1.79,0,0,0,0,0,0,0.91,4.45
 96-106,0,0,2.65,4.61,0.62,0,0,0,89.86,3.41,0.82,2.81,0,0.58,0,0,0.98,0.63,0,0,0,0.61
108-118,0,0,0.44,0,0,0,3.87,0.56,103.61,0,0.76,0,0,5.64,0,0,0,1.24,0,0,0,0.49
120,0,0,8.23,0,0,7.36,5.29,0,326.42,2.44,0,0,0,7.74,0,0,0,0,0,0,0,14.35
