stage,endoderm,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,neural,otic,spinal.cord,vasculature
  7-9,0,0,0,5.88,0,0,0,14.69,0,0,0
 10-12,9.18,9.54,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,3.16,0.88,1.02
 24-34,0,0,0,0,0,1.59,0,1.92,34.76,3.26,2.23
 36-46,0,0.57,0,0,0,0,0,3.07,1.59,1.2,0
 48-58,0,6.5,0,0,0,1.29,0,10.72,12.79,3.36,0.66
 60-70,0,4.31,0,0,0,7.59,2.42,0.86,50.73,2.06,0
 72-82,0,5.71,1.47,0,0,28.16,0.49,8.46,46.45,2.14,0
 84-94,0,13.52,0,0,0,33.43,0,8.56,127.61,0,0
 96-106,0,5.4,0,0,0,38.86,0,16.56,117.84,1.01,0.57
108-118,0,6.76,0,0,1.86,36.66,0.65,11.03,92.82,3.36,0
120,0,10.56,14.08,0,0,31.12,15.56,9.18,144.58,0,0
