stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,37.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.05,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.98,0,0,0,0,0,88.55,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.96,0,13.14,0,0,0,52.38,0,0,0,0,4.33,0,0,0,0,0,0,0,0,0,0,0,208.16,0,0,0,19.03,0,104.88,0,0,0,0,0,0,0,0,0,0
 10-12,0,10.05,0,18.78,0,15.7,0,69.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.84,0,0,0,21.22,0,55.44,17.82,11.71,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,10.96,1.17,0,0,0,0,0,4.96,0,0,0,4.17,0,0,0,0,6.21,0.95,0,4.28,10.36,0,0,0,0,0,277.14,0,0,1.07,1.07,1.35,0,0,0,0,0
 24-34,0,0,0,1.25,20.9,0.84,0,7.16,4.65,0,0,4.15,0,0.67,0,33.2,0,1.37,0,0,11.22,7.68,0,3.14,43.08,0,2.75,1.36,0,0,458.61,0,0.91,0,0,5.01,0,0,3.37,0,0
 36-46,0,0,0,0,73.92,0,0,3.56,3,0,0.99,0.72,0,2.73,0,7.8,0,0,0,1.14,6.74,8.67,0,0.7,62.47,2.84,5.45,2.73,0,0,562.54,0,0.72,0,0,5.47,0,0,2.03,0,0
 48-58,0.39,0,0,0,41.12,0,0,18.52,1.49,0,7.38,0,0,0,0,3.11,0,0,0,0.54,11.31,9.49,0,0,49.6,0.37,5.1,2.23,0,0,277.24,0,0,0,0,10.59,0,0,0,0,0
 60-70,0,0,0,0,61.17,0,0,28.29,7.71,0,3.49,1.43,0,0.77,2.5,0.83,0,1.52,0,0,4.07,1.47,0,0,34.51,0,0,0,0,0,232.19,0,0,0,0,11.12,0,0.61,0.82,0,0
 72-82,0,0,0,0,23.09,0,0,20.06,2.01,0,1.33,0.99,0,2.72,0,6.65,0,2.88,0,0,3.63,4.76,1.12,0,74.18,0,4.89,3.1,0,0,124.47,0,0,0,0,1.97,0.51,0.49,0.61,0,0
 84-94,0,0,0.81,0,43.44,0.63,0.68,2.72,10.37,0.59,1.35,0.96,0,2.23,2.16,8.62,0,0.9,0,0,5.15,10.48,0.96,0,31.95,0.63,8.8,5.74,0,1.65,352.85,0,2.24,0,0,5,10.63,0,0.91,0,0
 96-106,0,0,0,0,64.57,3.59,0,52.02,11.81,0,1.71,7.24,0,5.48,2.84,14.87,2.73,0.9,1.98,0,13.06,16.36,0.68,0,51.28,0.58,5.99,6.08,0,0,327.26,0,0,0,0,0,7.48,0,0,0.69,6.62
108-118,0,0,0.92,0.74,50.51,1.74,1.32,21.68,6.92,0,2.81,5.89,0,3.93,1.9,11.98,0,2.39,0,0,7.36,16.6,0,1.36,40.38,0,1.59,2.29,0,0,280.06,0,0,0,0,10.61,4.77,0,0.93,0,0
120,0,0,0,0,85.95,0,0,0,8.95,0,0,8.45,0,4.6,9.63,11.72,0,4.64,0,0,14.05,1.46,0,0,47.94,0,2.2,6.78,0,0,194.04,0,0,0,0,0,1.1,2.2,0,0,0
