stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0
  5-6,13.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,5.7,0.95,0,1.71,0,0,0,0,0,0,0.88,0,0,1.02,0,0,0,0,22.19,0,0,0,0,0.81,0,8.64,8.97,0,0,0,0
 24-34,0,1.22,0,0,0.63,0.64,0,0.99,0,0,0,0,0,0,0,0,3.23,0,1.75,37.41,0,0.75,0,1.94,0,0,6,6.43,0,0,0,0
 36-46,0,1.24,0,0,18.59,0,0,2.51,0,0,0,0,0,0,0,0,3.61,0,1.11,46.9,0,0,0,13.01,0,0,0.6,8.19,0,1.99,0,0
 48-58,0,2.31,0,0,27.09,5.88,0.9,1.27,0,0.39,1.77,0.4,0,0,0,0,6.8,0.44,0,49.99,0,0.4,0,1.07,0,0.46,0,6.7,0,0.56,0,0
 60-70,0,0.68,0,0,46.27,0,0,0.58,0,0,0,0,0,0,0,0,4.3,0,0.58,46.74,0,0.88,2.2,0,0,0,0,2.93,0.84,0.67,0,7.93
 72-82,0,1.23,0.69,0.59,34.16,0,0,6.32,0,0,0,0.74,0,0,0,0,8.92,1.11,0,33.01,0,1.22,0,0,0,0,0,2.03,0,2.28,0,0
 84-94,0,1.02,0,0,5.95,0,0,4.06,0,0,2.2,0,0,0,0,0,8.92,0,0,17.64,0,0.76,0.88,5.87,0,0,0,1.19,0,0,0,0
 96-106,0,0.9,0,0,18.04,0,0,3.23,1.8,0,3.12,0,0.76,1.16,0,0,7.63,1.1,0,29.42,0.7,0.75,2.44,2.06,0,0,0,3.63,0,0,0,0
108-118,0,2.29,1.42,0.44,10.11,0.62,0,8.17,0,0,0.87,0,0.65,0,1.52,0.83,18.23,3.69,0,49.25,0,0,0,2.23,0,0,0,0.63,0,4.94,0,2.37
120,0,2.55,0,0,4.96,0,0,1.37,1.41,0,2.37,0,1.17,0,0,0,6.68,0,0,61.62,0,0,0,5.02,0,0,0,3.8,0,0,1.59,0
