stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.78,0,0,31.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23,0,0,0,0,0.85,0,0,1.4,0,0,0,0,0
 24-34,0,0,0,0,152.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,17.62,0,1.51,0,0,0,0,0,1.07,0,0,0,0,0
 36-46,0,0,0,0,2580.73,0,0,0,1.66,0,0,0,0,0,0,0.81,1.69,0,1.92,0,0,2,34.76,1.45,0,0,0,2.94,0,0,6.13,0,0,0,0,0
 48-58,0,33.35,0.68,0,12429.97,0.46,14,2.02,65.8,0,0,0.39,0,0,13.1,2.54,0.8,0.48,55.34,0,8.76,34.48,741.18,0,0.94,3.44,1.59,11.25,0,0.57,76.67,0,0,4.03,0,0
 60-70,0,25.68,0.66,0,29496.27,0.66,3.42,0,65.67,2.53,0,0,11.2,16.63,0,0,2.59,10.18,74.69,0,3.02,8.11,498.97,0,0,0,0,23.29,2.7,0,38.32,0,1.42,4.11,0,13.79
 72-82,1.44,55.2,7.45,0.7,24719.09,10.51,5.5,7.7,109.93,3.35,0.89,2.37,2.17,3.65,3.36,0.61,12.16,4.19,82.05,0.57,4.21,6.56,574.88,0.57,0.87,11.44,2.35,1.38,1.27,3.87,58.31,0,5.75,4.85,5.54,17.72
 84-94,0,84.63,0.73,0,15406.91,10.02,37.02,14.27,194.4,6.26,0,0,11.06,0,8.74,1.7,1.81,0,115.86,2.53,25.63,7.91,483.86,4.33,6.34,3.76,0,12.57,0.73,2.08,33.93,0.66,6.58,15.66,4.2,1.27
 96-106,0.91,65.64,20.91,3.57,11818.98,0.86,5.35,6.94,101.71,3.66,0,12.94,9.18,0.94,2.67,0.63,5.16,0,61.67,0,1.06,7.74,343.07,0.75,6.47,1.46,0,33.02,0.7,0.9,8.86,2.97,4.37,15.97,1.8,11.06
108-118,0,37.76,12.08,0,9011.14,0,0,0,52.42,2.55,0,0,1.46,3.56,0.89,0,13.53,0,58.44,0,6.7,5.79,402.16,1.17,3.78,4.48,0,11.83,3.93,0.69,12.4,5.25,3.26,6.4,8.93,4.36
120,0,26.31,1.28,0,6918.04,0,1.78,26.55,185.61,0,0,2.63,2.03,0,2.23,1.88,7.68,0,142.24,4.3,6.4,5.98,486.32,9.92,4.24,5.1,7.06,6.4,0,0,0,0,0,0,0,1.16
