stage,blastomeres,epidermis,eye,fin.mesenchyme,heart,lateral.line,mesenchyme,neural,otic,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle
  3-4,16.86,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.71,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.72,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,10.38,0,1.6,0,0,0,0
 24-34,0,0,0,0,0,0,0,11.2,3.85,0,0,11.6,0,0
 36-46,0,0,0.88,0,0.69,1,0,8.09,0,2.7,0,1.22,0,0
 48-58,0,0,2.96,0,0,0.89,2.37,18.95,3.48,1,0,3.17,0,0
 60-70,0,0,12.29,0,0,3.85,0,19.83,5.43,0,0,1.18,0,0
 72-82,0,0,1.07,0,0,0.79,0.54,19.78,13.19,0,0,1.74,0,0
 84-94,0,0,0,0.89,0,8.79,0,11.46,13.43,0,0,3.85,0,0
 96-106,0,0.6,0,0,0,11.11,0,2.79,12.83,0,0,0,2.19,0
108-118,0,0,0,0,0,11.93,0,8.29,10.46,0,0,0,0,0.53
120,0,0,0,0,0,27.59,0,10.75,9.6,0,1.22,0,0,0
