stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,129.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.64,0,0,0,0,0
  5-6,6.19,105.75,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,7.49,0,0,0,0,0
  7-9,0,0,0,8.57,0,0,0,0,0,0,0,0,0,0,0,65.91,0,0,11.1,0,0,0,0,0,0
 10-12,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0,31.6,0,0,21.18,0,0,0,0,0,0
 14-21,0,0,0.83,0,0,0,0,0,0,0,1.26,0.89,0,0,0,9.66,0,0,0,0,1.44,0,0,0,0
 24-34,0,0,0,1.41,0,0,0,0.76,0,0,0,0,0,0,0.9,20.81,0,0,0,0,4.75,0,1.69,0,0
 36-46,0,0,12.4,3.9,0,0,0,0,0,0,0,0.71,0,0,0,9.92,0,0.81,0,0,1.17,0,0,0,0
 48-58,0,0,0,3.55,0,0,0,0,0,0,0,1.98,0,0,0.61,5.41,0,0,0,0,2.98,0,0,0,0
 60-70,0,0,0,6.18,0,1.13,0,0,0,0,0,2.19,0,4.77,2.14,13.42,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.06,0,3.21,0,0,0,0,0,2.09,0,0,0,6.74,0,0,0,0,0,0,0,0,0
 84-94,0,0,0.75,0,1.27,4.01,0,0,0,0,0,0,0,0,0,0,1.53,0,0,0,0,0.62,0,2.3,0
 96-106,0,0,0,0,0,2.38,0,0,0,0.56,0,1.07,0,0,0,0,0,0,0,0.62,0,0,0,0,7.21
108-118,0,0,0,0,0,0.59,0,0,0,0,0,0.97,0,0,1.05,9.74,0,0,0,2.28,0,0,0,0,0
120,0,0,0,0,0,8.34,2.59,0,1.52,0,0,2.05,3.22,0,0,22.75,0,0,0,0,0,0,0,5.89,0
