stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,19.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.34,0,0,0,6.36,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.33,0,2.4,1.03,0,0,0,0,0,5.94,0,0,0,0,0,0,5.37,0,0,3.27,25.18,0,0,0,0,0,0,3.34,0,3.15,16.65,6.55,0,0,0,0,0
 24-34,0,0,1.92,3.85,2.39,3.2,0,3.06,5.42,0,0.92,5.67,0,0,0,0,0.6,0,55.01,0,0,19.38,125,0.8,5.09,4.46,0,0,0.79,0,0,0.62,4.86,65.02,0,0,15.68,0,0
 36-46,0,0,0,22.31,0,1.56,3.6,0,17.12,0.96,0.63,1.06,0,0,0,0,0.57,0,74.75,0.95,0,19.32,324.49,0,6.72,1.46,0,0,6.83,0,0,5.98,1.09,78.07,0,0,34.56,0,0
 48-58,0,0,0,14.84,0.42,17.29,3.27,3.13,14.95,3.08,0,6.22,5.26,0,0,0.45,0,0.4,64.88,0.93,1.78,10.89,492.38,0.63,6.34,9.09,0,0,4.99,0,1.05,0,0,98.42,0,0,20.48,0,5.32
 60-70,0,0,0,6.49,5.38,37.19,1.27,0.63,24.83,1.48,0.75,0.76,0.98,0,0,0.66,0,0,74.9,0.63,4.75,27.54,772.22,3.05,10.43,26.2,0,0,0,0,3.85,0,0,132.97,0,0.84,3.36,0,0
 72-82,0,0.83,0,4.33,4.52,128.53,0,0,24.43,8.41,1.57,0,6.2,2.93,0,0.61,5.7,0,120.45,1.09,6.54,13.68,1132.95,0,11.01,16.76,0,0,0.87,0,4.21,0,0,138.68,3.65,1.92,22.26,2.67,9.93
 84-94,0,0,0,4.66,14.12,125.69,0.79,2.02,28.77,9.72,3.16,0.88,10.96,1.76,0,5.02,0,0.99,79.95,7.24,10,8.08,763.47,5.08,8.67,29.44,0,0.77,11.34,0,4.18,8.5,0,83.23,0,4.88,29.94,2.2,0
 96-106,0,1.38,0,3.54,12.18,116.19,10.18,15.26,9.97,14.84,2.51,5.33,5.32,0,0,2.49,0,0,66.86,4.88,0.69,6.03,729.68,0.62,22.35,22.22,0,9.85,1.71,0,0,0.74,0,39.84,0,0,20.96,5.31,0
108-118,0,0,0,8.43,3.95,111.23,2.66,0,9.39,20.82,2,2.89,16.27,0.49,0.43,2.41,5.19,0,90.11,2.46,3.83,7.04,856.16,2.26,1.7,23.74,0,2.29,4.95,0,4.89,3.9,0,45.81,0,9.64,18.52,9.32,0.91
120,0,0,0,32.23,9.87,271.57,1.14,2.41,29.61,33.08,26.57,3.83,25.92,0,0,4.32,0,0,162,16.75,15.94,19.36,2636.44,0,10.94,54.95,0,6.17,1.95,0,6.1,1.63,0,138.67,0,7.39,31.76,18.3,0
