stage,eye,glial,mesenchyme,neural,periderm,presomitic.mesoderm,spinal.cord
  7-9,0,0,0,3.87,0,0,0
 10-12,0,0,0,5.35,0,0,0
 14-21,0,0,0,0,0,1.2,0
 24-34,0,0,0,0,0,0,2.29
 36-46,1.31,0,0,1.06,0,0,0
 48-58,0.98,0,0,0,0.75,0,0.78
 60-70,0,0,0,1.25,0,0,0
 72-82,0.86,0,0,1.94,0,0,0
 96-106,1.47,0,0,0,0,0,0
108-118,1.03,7.92,0.96,0,0,0,0
120,0,0,0,1.49,7.23,0,0
