stage,axial,blastomeres,eye,neural,paraxial_mesoderm,periderm
  5-6,6.56,27,0,0,0,0
  7-9,5.02,0,9.17,3.58,4.04,0
 10-12,0,0,0,12.37,3.24,0
 84-94,0,0,0,0,0,0.84
 96-106,0,0,0,0,0,3.36
