stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,34.45,489.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.64,0,0,0,0,0,0,0,0
  5-6,7.25,70.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,6.16,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,45.77,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,9.57,2.05,0,4.48,0,0,0.91,0,0.82,0,0,0,1.07,1.05,25.34,0.91,0,0.84,1.62,2.16,3.86,0.97,3.67,7.63,0,0.89,0
 24-34,0,0,0,5.41,2.88,0,3.08,0.75,0,0.84,0,1.29,0,0.65,0,9.09,2.31,47.01,0,0.64,0,3.21,0,0,2.49,0,8.63,0,0.94,0
 36-46,0,0,0,4.86,0.81,0,1.03,0,0.75,1.35,0,0,0,0,2.63,2.95,1.28,25.92,0,0,0,5.06,0,0,0.6,0,10.95,0,0,0
 48-58,0,0,0,0.5,0,0,3.41,1.86,0.66,10.78,0,0,0,0,4.43,2.02,0,7.92,0,0.74,0,2.02,0,0,0,0,1.66,0,0,0
 60-70,0,0,0,0.63,0,0,2.68,0,0,1,0,0.58,0,0,0,3.32,0,0,0.66,0,0,1.33,0,0,0,0,1.76,0,0,0
 72-82,0,0,0,0,0,0,2.25,0.56,0.9,4.81,0.5,0.52,0.73,0,0,9.07,0,2.23,0,0,0,0.55,0,0,0,0,0,0.74,0,0
 84-94,0,0,0,4.54,1.02,0,0.9,0,1.27,1.68,1.43,1.53,0,2.13,0,2.11,0,0.61,0,2.08,0,1.21,0,0,0,0,1.83,0,1.08,0
 96-106,0,0,0,2.96,0,0,0.59,0,0.6,1.1,0.86,0,0,0,0.76,6.44,0,2.11,0.85,0,0,7.85,0,0,0,0,0,0,2.19,1.85
108-118,0,0,0,4.3,0,0.59,0.54,0.85,0,0.72,0,2.18,0.65,0,0,8.11,2.08,2.59,0,0,0,5.66,0,0,0,0,0,0,3.23,0
120,0,0,0,2.6,3.69,0,11.81,1.21,0,0,0,4.55,0,0,0,0,0,0,1.24,2.84,0,2.66,0,0,0,0,0,0,0,0
