stage,epidermis,eye,fin.epithelia,glial,iridophores,lateral.line,mesenchyme,muscle,neural,otic,pericytes,periderm,somites,spinal.cord,taste,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,12.01,0,0,0,1.75,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,32.5,0,0,0,0,2.58,0,0,0
 36-46,0.61,0,0,0,0,0,0,0,83.85,0,0,0,0,0,0,0,0
 48-58,0,7.45,0,1.05,0,0,0,0,164.21,0,0,0,0,5.13,0,0,0
 60-70,0.9,34.36,2.57,1.54,0,0,4.67,0,414.28,0.59,0.71,0,0,11.05,0,0,0
 72-82,2.37,36.1,0,11.43,0,0,3.67,0,380.03,0,0,0,0,4.15,0.5,0,0
 84-94,9.24,30.62,0,9.74,0,0,0,0,307.78,0.69,0,0,0,3.45,0,1.01,0
 96-106,3.48,43.24,0,3.78,7.73,0,2.24,0.84,266.21,0.6,0,0,0,13.62,0,0,3.35
108-118,4.71,39.86,0,4.8,0,0,3.32,0,210.97,0.51,0,0,0,5.46,0.6,0,0
120,9.21,57.01,0,5.49,0,8.05,0,0,429.88,0,0,1.62,0,7.65,0,0,0
