stage,blastomeres,endocrine.pancreas,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,16.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83,3.43,0,0,0,0,0,0,0
 10-12,8.19,0,0,0,0,0,0,0,0,0,0,0,0,0,8.02,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,2.44,0,0,0,0,1.17,0,0,0,0,0.82,3.03,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.9,0,2.21,0,0.64,14.09,0,0,0,0,0,1.49,0,0
 36-46,0,0,0,0,0,0,0,0,0,1.96,0,2.83,0,0,4.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.36,0,0,0,1.85,0,0,0,30.69,0,0,1.56,0,0,0,0,0,0.72,0,0
 60-70,0,0,0,0,0,0,0,1.95,0,1.8,0,71.94,0,0,8.4,0,0.89,0,0,0,1.3,3.21,0.73
 72-82,0,0.71,6.74,18.29,0.74,0,0,0,0,0.52,5.31,182.36,0,0,8.83,0,1.41,0,0,0,3.9,0.85,0
 84-94,0,0,0,6.59,11.89,0,1.2,2.34,1.2,5.26,0,270.58,0,0,14.73,0.65,0,1.04,0,0,0,1.26,0
 96-106,0,0,1.45,20.5,1.45,0,0,2.59,1.95,3.01,0,324.48,0,0,18.75,0,0,0,1.47,0,0,0.9,9.05
108-118,0,0,1.76,2.62,5.68,0.89,0,0,0,0.45,0,210.41,0,0.55,7.61,0,0,0,0,0,0,2.42,0
120,0,0,11.44,0,2.44,0,0,8.05,1.92,1.28,0,236.69,2.33,0,7.68,0,0,0,0,0,0,0,0
