stage,blastomeres,endocrine.pancreas,eye,glial,heart,ionocyte,mesenchyme,mural.cell,muscle,neural,spinal.cord,taste,vasculature
  5-6,8.31,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,5.44,0,0,0
 14-21,0,0,0,0,0,0.95,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,1.6,0,0
 36-46,0,0,0,0.57,0,0,0.67,0,1.52,0.78,1.36,0,0
 48-58,0,0,2.29,0,0,0,0,0,0,4.51,1.6,0,0
 60-70,0,0.86,0,0,0,0,0.89,0,0,0,0,0,0
 72-82,0,0,0,0.69,0,0,0,0,0,2.82,4.5,0.91,0.49
 84-94,0,0,0.56,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,5.45,0,0.95,0,0,1.7,0,0,0,0,0
108-118,0,0,0.55,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,14.03,0,0,0
