stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,123.6,0,0,0,0,0,0,1.08,1.18,0,0,0,0,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0.99,0,0,2.3,0,0,0,0,0
 24-34,0,0,0,599.23,0,0,3.04,0,43.95,0,0,0,0,0,0,0.86,1.56,0.96,0,0,1.84,6.26,0,0.73,51.61,0,22.91,0,0,0,12.93,0,0,0,10.92,0,0,0,0,0
 36-46,0,0,0,922.22,0,0,7.94,0,587.57,0,0,0,0,0,0,0,0,0,0,0,7.3,11.02,0,2.85,69.97,0,15.94,0.58,0,0,2.78,0,0,0,11.79,0,0,0,0,0
 48-58,0,0,0,1281.18,0,0,35.46,0,795.62,0.77,5.02,0,1.43,0,0,2.58,0.4,1.53,0,2.19,10.24,7.1,0.4,4.56,113,0.56,9.99,0,0,0,1.21,0,0.56,0,39.5,0,0,0.47,0,6.43
 60-70,0,0,0,2501.44,0,0,100.42,0,1134.42,2.05,31.96,2.32,0,0,0,0,2.55,9.7,0,8.49,31.85,26.7,0,0.66,153.03,0,45.64,0,0,0,4.83,0,1.28,0,20.09,1.58,0,0.96,2.97,22.07
 72-82,0,0.64,0,3075.55,0,0,93.06,0,1203.74,6.17,22.97,9.09,0,0,0,0.53,0,15.18,0,0,41.77,48.96,2.4,0,166.69,0,82.52,1.73,0,0,12.89,0,0,0,16.83,0.63,0,12.32,9.1,19.06
 84-94,1.85,0,0,7766.88,17.27,0,98.61,0,2684.34,1.18,24.48,27.38,0,0,1.75,42.85,0,23.38,0,0.56,29.46,76.37,0,4.14,202.27,0,199.64,5.09,0,0,36.07,0,2.53,0,22.66,22.79,2.77,4.22,12.27,8.76
 96-106,0,0,0.8,12886,101.77,6.51,231.5,5.56,3932.24,27.39,60.58,89.58,0,1.98,11.77,71.9,4.33,30.29,12.61,0.6,167.12,203.35,5.21,8.78,561.8,5.74,383.92,16.28,0,8.58,140.29,0,1.01,0.84,17.17,36.97,0,47.41,3.01,14.2
108-118,1.16,1.11,0,15789.7,22.67,11.38,220.7,0.75,6274.47,27.43,80.58,157.73,0,0,7.79,179.32,1.79,33.17,21.73,5.93,181.33,115.03,4.36,16.27,517.05,0.43,326.51,6.36,0,2.77,47.3,0,6.54,3,15.88,78.29,4.98,21.44,15.15,20.55
120,3.48,0,0,8341.69,11.99,0,122.88,7.18,3233.23,5.27,66.73,39.18,0,1.54,13.45,25.46,0,13.46,1.58,0,88.17,124.11,9.27,7.87,345.82,0,86.5,20.89,0,0,23.21,0,2.44,1.21,6.21,28.52,1.95,8.6,0,0
